"Gene","logFC","adj.P.Val","P","SignedZ"
"rraA",-14.2124635184535,1.35368745949606e-86,1.35368745949606e-86,-19.7235557859616
"ompF",5.83238161219676,1.82009807564284e-85,1.82009807564284e-85,19.5917001109292
"hslU",-13.8270799025612,6.29685230445052e-83,6.29685230445052e-83,-19.2917792503327
"yghB",3.86535086842741,2.18604153577688e-59,2.18604153577688e-59,16.2513206472721
"yrbL",-2.70401965118222,2.18604153577688e-59,2.18604153577688e-59,-16.2513206472721
"flu",-3.24725708042456,2.17747149313089e-54,2.17747149313089e-54,-15.5298917233005
"inaA",-2.65328280038983,8.18505484282073e-53,8.18505484282073e-53,-15.2955625140207
"menA",-10.7777519378099,2.79827635969509e-49,2.79827635969509e-49,-14.7563990804769
"yebV",-2.51177153778848,1.63663851095135e-44,1.63663851095135e-44,-13.9965322615976
"citC",-2.96085307687568,5.21615553520071e-35,5.21615553520071e-35,-12.3444933669668
"ymdF",-2.53233176929619,9.45133718562799e-32,9.45133718562799e-32,-11.7253466196792
"yqhC",1.34883854163437,7.3849650569744e-30,7.3849650569744e-30,11.3503698588884
"isrC",-3.48791839918253,7.47416880134938e-29,7.47416880134938e-29,-11.1461861477541
"yqiI",-2.49694109228201,1.95645556013957e-24,1.95645556013957e-24,-10.2012953170053
"adhP",-1.32616813557823,1.10015100030028e-21,1.10015100030028e-21,-9.56703534725808
"yhdV",-2.04363859511064,5.2167738974377e-21,5.2167738974377e-21,-9.40472238225437
"yciG",-2.00748387188763,1.23039140802e-19,1.23039140802e-19,-9.06637791091288
"glgS",-3.04986497647923,7.13571991885879e-19,7.13571991885879e-19,-8.87275657131556
"ytfK",-2.08357754231006,2.10558380267474e-18,2.10558380267474e-18,-8.75148765680732
"ydcL",-1.68594207655534,2.71306833550757e-17,2.71306833550757e-17,-8.4582985374619
"zapB",-14.3610193471429,4.88145408158728e-17,4.88145408158728e-17,-8.3895165391893
"decR",-1.28166932940569,9.38847403888655e-17,9.38847403888655e-17,-8.31227475503431
"alaE",5.45671767397247,5.6668971674107e-16,5.6668971674107e-16,8.09627214307173
"yhbW",-1.30480847522622,1.70949101877346e-14,1.70949101877346e-14,-7.67078333371881
"cspI",-3.43057867798983,3.02248535926359e-13,3.02248535926359e-13,-7.29339132504497
"sra",-1.16657492903373,3.02248535926359e-13,3.02248535926359e-13,-7.29339132504497
"yjbQ",-0.961362320542267,3.02248535926359e-13,3.02248535926359e-13,-7.29339132504497
"mepM",-1.43142906433295,6.43108814102661e-13,6.43108814102661e-13,-7.19101613380478
"yagU",1.54370014312107,9.44517839889954e-13,9.44517839889954e-13,7.13835885896961
"yeiI",-0.853700436862536,2.01610656636324e-12,2.01610656636324e-12,-7.03336526545962
"ilvX",3.94006564997141,5.64744001461525e-11,5.64744001461525e-11,6.55278340711764
"glnL",-2.05709788127977,6.34815637418674e-11,6.34815637418674e-11,-6.53530141191569
"ydcH",-1.39554782455354,1.25586385517608e-10,1.25586385517608e-10,-6.43242211774732
"ycaC",-1.26042243081577,1.35929762044251e-10,1.35929762044251e-10,-6.4203854061762
