"Gene","logFC","adj.P.Val"
"rraA",-14.2124635184535,1.35368745949606e-86
"ompF",5.83238161219676,1.82009807564284e-85
"hslU",-13.8270799025612,6.29685230445052e-83
"yghB",3.86535086842741,2.18604153577688e-59
"yrbL",-2.70401965118222,2.18604153577688e-59
"flu",-3.24725708042456,2.17747149313089e-54
"inaA",-2.65328280038983,8.18505484282073e-53
"menA",-10.7777519378099,2.79827635969509e-49
"yebV",-2.51177153778848,1.63663851095135e-44
"citC",-2.96085307687568,5.21615553520071e-35
"ymdF",-2.53233176929619,9.45133718562799e-32
"yqhC",1.34883854163437,7.3849650569744e-30
"isrC",-3.48791839918253,7.47416880134938e-29
"yqiI",-2.49694109228201,1.95645556013957e-24
"adhP",-1.32616813557823,1.10015100030028e-21
"yhdV",-2.04363859511064,5.2167738974377e-21
"yciG",-2.00748387188763,1.23039140802e-19
"glgS",-3.04986497647923,7.13571991885879e-19
"ytfK",-2.08357754231006,2.10558380267474e-18
"ydcL",-1.68594207655534,2.71306833550757e-17
"zapB",-14.3610193471429,4.88145408158728e-17
"decR",-1.28166932940569,9.38847403888655e-17
"alaE",5.45671767397247,5.6668971674107e-16
"yhbW",-1.30480847522622,1.70949101877346e-14
"cspI",-3.43057867798983,3.02248535926359e-13
"sra",-1.16657492903373,3.02248535926359e-13
"mepM",-1.43142906433295,6.43108814102661e-13
"yagU",1.54370014312107,9.44517839889954e-13
"ilvX",3.94006564997141,5.64744001461525e-11
"glnL",-2.05709788127977,6.34815637418674e-11
"ydcH",-1.39554782455354,1.25586385517608e-10
"ycaC",-1.26042243081577,1.35929762044251e-10
"nac",-3.30141043561025,1.57767223181535e-10
"ypeC",-1.06548996850037,5.54438270924903e-10
"alaA",-1.79382004380914,1.56834894758041e-09
"pflB",-1.02717161471789,3.41478969963375e-09
"spy",-1.54118129976508,1.23628188346375e-08
"ynfQ",-3.22996638570643,1.33407805168174e-08
"ynfN",-2.39630061116076,1.52626531041944e-08
"gadC",-1.48659015604977,2.20584327893228e-08
"hslV",1.18894151065725,2.90757246414721e-08
"glnG",-2.07406237418158,3.19003867570786e-08
"gadB",-1.91984684630396,5.28066459279176e-08
"omrA",-2.0481174538945,5.43740880720546e-08
"glnA",-1.72192684828989,1.23227496080736e-07
"yahO",1.55488926839197,2.06086498359875e-07
"ybhR",-1.24841592634667,2.06086498359875e-07
"ybiJ",1.33894091810548,2.43077895562619e-07
"dtpD",-1.08663104535914,2.76423467870829e-07
"yibT",-1.76896313834025,4.5631979821094e-07
"chaC",-1.00152022883599,5.13740231024099e-07
"amtB",-1.86606364152628,6.37881799779544e-07
"gcvT",1.71223351653612,6.89538069073666e-07
"ygaV",-1.22799435165015,6.89538069073666e-07
"ddpX",-1.47735881191862,7.87786037182789e-07
"ogrK",1.25060684439863,8.18374788751645e-07
"ihfB",1.01141587637715,8.25791382345838e-07
"bssR",-1.18520961157351,8.41318756187886e-07
"frmR",7.9824560276228,1.11939801121148e-06
"fepE",-1.16783297912025,1.19438386839294e-06
"yedL",-2.13530956750438,1.33634670024452e-06
"frmA",7.39095650434843,1.95518002673833e-06
"yeeP",-1.21842622870704,2.7975634784313e-06
"tktB",-1.138609464026,3.81680296554903e-06
"yhaK",1.40194276114594,3.8862775250517e-06
"acrZ",-1.84089947863729,4.00022432838082e-06
"mltD",-1.4871660082255,4.23115464817177e-06
"gadA",-1.5098192394683,7.13966307799939e-06
"pmrD",1.39213464846019,8.28702769372958e-06
"cspE",-1.3201894687607,1.15099756991113e-05
"gatR",-1.0166155667229,1.16345566197349e-05
"rutD",-1.34833384097785,1.67401995545827e-05
"lpxP",-1.03437374030136,3.4314335837519e-05
"yeaH",-1.59906604832171,4.38459088884682e-05
"glnH",-1.1056533865298,4.38459088884682e-05
"gatA",-1.13036907631306,5.26823109643891e-05
"yibI",1.33535809931661,5.69999745518108e-05
"pppA",1.00206250800368,6.49186223840259e-05
"hemB",-1.26468845800359,6.98565742776546e-05
"azoR",1.62654309120472,7.16445580252597e-05
"yehB",1.10090964558437,8.91014165397017e-05
"cspA",-1.19757498718378,9.39445210107939e-05
"yobD",-1.03972538144287,0.000108647349380246
"yciZ",1.10442434400139,0.000128239002539449
"chaA",-1.15832264505134,0.00014618351474745
"cspB",-1.4653563955512,0.000165122800482569
"lysA",1.17985763445903,0.000173607174568176
"rutC",-1.31909186038294,0.000177453944524755
"fimC",-1.04070497002718,0.000186517520315304
"gapC",-1.14199700772235,0.000201353838991188
"cyaR",-1.08546308157042,0.000223627487690601
"omrB",-1.91534255706272,0.000278073240679593
"flgB",1.77670614315625,0.000592596043906169
"srkA",-1.01577835306826,0.000592596043906169
"allE",1.22268407412367,0.000596046087002661
"psd",-1.16245399278019,0.000602942668923449
"entC",-1.07445220769208,0.000832982313167192
"ynfT",-1.74799466477452,0.000894369143759747
"avtA",-1.17245097864004,0.00100203188452742
"frmB",4.0757890601621,0.00112369008855195
"yeaG",-1.38686355947316,0.00120683502490545
"soxS",-1.31500700390819,0.00134823364776358
"tyrA",1.42820112946682,0.00147501060449079
"yhaH",1.54383302365348,0.00158285371775559
"asnA",-1.23977141467479,0.00175658532729968
"zapC",1.31720228956086,0.00241745523012685
"glnK",-2.78043205504417,0.00289179043267873
"leuO",1.11654151007625,0.00298380918202631
"mqo",1.25721360175019,0.00339286530428793
"setB",-1.21356109725498,0.00358215618039429
"yaiO",1.29652607693248,0.00372174263717683
"cspH",-1.49810017481535,0.00407671021036869
"cspG",-1.02739344220706,0.00443347403235684
"bluF",-1.04598831086096,0.00474457235575095
"dgcZ",-1.60541025576837,0.00493889984226677
"phoU",1.02926765433029,0.00523840209131448
"yjfN",-1.90816050960112,0.00527190653603554
"ydiH",-1.22993445065239,0.00558248232921495
"cdd",1.3780020394942,0.00683615815548843
"kdgR",1.16111445827057,0.00683615815548843
"entE",-1.01858577742062,0.00806589983201203
"efeB",1.31880845161851,0.00810668350316475
"insL-1",1.60172886232135,0.00836560370776857
"yedR",1.02119545948756,0.00852107556725933
"nemR",1.15710109747716,0.00972832555399462
"ompT",1.50588525822367,0.00988291776307714
"putP",1.05955752495661,0.0104911051156651
"gcvB",1.18793668762242,0.0126571205406046
"dnaJ",1.17256903359373,0.01281245014555
"dppA",-1.08748203114739,0.013203192195786
"rpsF",-1.01786584046318,0.0133935979961362
"csrC",-1.1328120945146,0.0140009032901108
"groS",1.44273465411064,0.0144479978605827
"trpL",-1.10522224739032,0.0144479978605827
"yhiN",1.08163932226852,0.0182871736798667
"ynaM",-1.25420585710289,0.018942832392854
"rluB",1.1563436991698,0.0190205772709529
"leuD",1.08901020214158,0.020451885499646
"glxK",1.63365823964477,0.0260195780065462
"rpsR",-1.09720993354239,0.0273292320030622
"ydfK",-1.55337764050932,0.0284041968384406
"cmtB",1.00575274662768,0.0284041968384406
