"Gene","logFC","adj.P.Val","P","SignedZ"
"katE",-1.93909072942857,1.98995803901465e-18,1.98995803901465e-18,-8.75785790434101
"csgF",-1.92794568371428,1.98995803901465e-18,1.98995803901465e-18,-8.75785790434101
"rhaD",3.04467942,5.03026758144688e-18,5.03026758144688e-18,8.652682839045
"adhP",-1.74540619852941,5.03026758144688e-18,5.03026758144688e-18,-8.652682839045
"galS",1.99028018454546,5.21089923579718e-18,5.21089923579718e-18,8.6486570735983
"sra",-2.07777796285714,7.54859954640667e-18,7.54859954640667e-18,-8.60625537027879
"csgA",-3.47955419705882,1.02118707157636e-17,1.02118707157636e-17,-8.57153045011099
"csgD",-2.10202785885714,2.03505767072589e-17,2.03505767072589e-17,-8.49177439929002
"csgG",-1.66332198058824,5.60463811776819e-17,5.60463811776819e-17,-8.37325869993704
"mglA",3.83497530571429,9.9818639054701e-17,9.9818639054701e-17,8.30500096153299
"deoB",-1.15920942028571,1.7936384989371e-16,1.7936384989371e-16,-8.23512927184857
"ydcL",-1.58831575914286,2.47961581652158e-16,2.47961581652158e-16,-8.19626973868906
"mglB",3.77555790322581,3.14242637630377e-16,3.14242637630377e-16,8.16773138489677
"poxB",-2.017575678,3.68230568713999e-16,3.68230568713999e-16,-8.14857732283393
"preA",1.52643095676471,6.72165517440611e-16,6.72165517440611e-16,8.07547123571866
"osmC",-2.06630817647059,9.57449006954067e-16,9.57449006954067e-16,-8.03219388774877
"btuE",-1.57530817314286,1.2327797341008e-15,1.2327797341008e-15,-8.00113456440586
"lrhA",0.997576675294118,1.39134612196176e-15,1.39134612196176e-15,7.98622414094021
"rnd",0.633609010882353,1.6743814883836e-15,1.6743814883836e-15,7.96335355673089
"deoD",-0.822164246857143,1.76876786629001e-15,1.76876786629001e-15,-7.95656810875176
"hslO",-0.821532341428572,2.10255115812967e-15,2.10255115812967e-15,-7.93514171003583
"hchA",-2.12451086529412,2.32279540467234e-15,2.32279540467234e-15,-7.92276863731115
"insH6",0.913123698685714,2.32279540467234e-15,2.32279540467234e-15,7.92276863731115
"ycaC",-2.91971009714286,3.46112534417183e-15,3.46112534417183e-15,-7.87304483917154
"dps",-2.59563903357143,4.74379081112692e-15,4.74379081112692e-15,-7.83352483794968
"elaB",-1.91387103942857,5.91818781842527e-15,5.91818781842527e-15,-7.80567934347834
"ggt",-2.45967731117647,7.67778570972054e-15,7.67778570972054e-15,-7.77278688546883
"insH4",0.913976470285714,8.5052990816364e-15,8.5052990816364e-15,7.75981555288694
"luxS",-1.08324758352941,9.16370805670281e-15,9.16370805670281e-15,-7.75035350669661
"csgE",-1.16090550882353,1.25968836325636e-14,1.25968836325636e-14,-7.70984682607809
"ybaY",-1.77167381606061,1.33888661917782e-14,1.33888661917782e-14,-7.70206126587463
"dosC",-1.56300212828571,1.33888661917782e-14,1.33888661917782e-14,-7.70206126587463
"insH8",0.897530338285714,1.33888661917782e-14,1.33888661917782e-14,7.70206126587463
"insH2",0.897174453828571,1.7505551844971e-14,1.7505551844971e-14,7.66773835315686
"insH3",0.88853257,1.99511050353138e-14,1.99511050353138e-14,7.65094281926491
"mscS",-1.93791211194286,3.02397515143086e-14,3.02397515143086e-14,-7.59728951072936
"yciG",-1.62427949257143,3.33136871096211e-14,3.33136871096211e-14,-7.58474684267281
"insH1",0.936020940857143,3.66577493137898e-14,3.66577493137898e-14,7.57233399904627
"slyB",-0.885346671764706,3.88134369560069e-14,3.88134369560069e-14,-7.56490962193225
"fliC",-3.130133425,6.04202369846506e-14,6.04202369846506e-14,-7.50716785162637
"ptsH",-0.771565962942857,6.4372532534406e-14,6.4372532534406e-14,-7.49886550958255
"ptsG",-1.61663512225806,6.81698312454652e-14,6.81698312454652e-14,-7.49134794162149
"focA",-1.06348173142857,8.21378272146358e-14,8.21378272146358e-14,-7.4668491669977
"insH10",0.944259970941177,8.21378272146358e-14,8.21378272146358e-14,7.4668491669977
"ybgS",-1.68067916285714,8.30223978628087e-14,8.30223978628087e-14,-7.46543891806442
"tpiA",-0.95611933,8.30223978628087e-14,8.30223978628087e-14,-7.46543891806442
"osmY",-2.45856456857143,1.17184304370884e-13,1.17184304370884e-13,-7.41992767861354
"rluD",-0.528561238857143,1.30221675352432e-13,1.30221675352432e-13,-7.40594308781183
"insH7",0.930814209411764,1.55180541822716e-13,1.55180541822716e-13,7.38264057689624
"yciF",-2.38195450545455,1.88425208376733e-13,1.88425208376733e-13,-7.35676175265587
"insH5",0.9219969288,1.95329710096398e-13,1.95329710096398e-13,7.35195422264286
"grxB",-1.36259376257143,2.28992564992048e-13,2.28992564992048e-13,-7.33067723647113
"ygiW",-1.09818892451429,2.55249860329055e-13,2.55249860329055e-13,-7.31611661844383
"yeaQ",-1.03107817742857,2.55249860329055e-13,2.55249860329055e-13,-7.31611661844383
"kbp",-2.21118113228571,2.97357517847864e-13,2.97357517847864e-13,-7.29558801129944
"talA",-1.71600937457143,3.17653913584023e-13,3.17653913584023e-13,-7.2866937238777
"insH9",0.919383621666667,5.26049543494925e-13,5.26049543494925e-13,7.21839442232486
"dosP",-1.05369302029412,6.88391993704763e-13,6.88391993704763e-13,-7.18172118744715
"insH11",1.0057929903125,6.88391993704763e-13,6.88391993704763e-13,7.18172118744715
"opgH",-0.600176789428571,6.98006263876516e-13,6.98006263876516e-13,-7.17982515634653
"phr",-0.856163295714286,8.78320029110242e-13,8.78320029110242e-13,-7.14834241184544
"fepG",0.913460674,9.47174712495654e-13,9.47174712495654e-13,7.13797264942209
"adhE",-1.20450511969697,1.12859094370953e-12,1.12859094370953e-12,-7.1138386374467
"tktB",-1.98859975617647,1.32836845016524e-12,1.32836845016524e-12,-7.09132201421695
