"Gene","logFC","adj.P.Val"
"katE",-1.93909072942857,1.98995803901465e-18
"csgF",-1.92794568371428,1.98995803901465e-18
"rhaD",3.04467942,5.03026758144688e-18
"adhP",-1.74540619852941,5.03026758144688e-18
"galS",1.99028018454546,5.21089923579718e-18
"sra",-2.07777796285714,7.54859954640667e-18
"csgA",-3.47955419705882,1.02118707157636e-17
"csgD",-2.10202785885714,2.03505767072589e-17
"csgG",-1.66332198058824,5.60463811776819e-17
"mglA",3.83497530571429,9.9818639054701e-17
"deoB",-1.15920942028571,1.7936384989371e-16
"ydcL",-1.58831575914286,2.47961581652158e-16
"mglB",3.77555790322581,3.14242637630377e-16
"poxB",-2.017575678,3.68230568713999e-16
"preA",1.52643095676471,6.72165517440611e-16
"osmC",-2.06630817647059,9.57449006954067e-16
"btuE",-1.57530817314286,1.2327797341008e-15
"lrhA",0.997576675294118,1.39134612196176e-15
"rnd",0.633609010882353,1.6743814883836e-15
"deoD",-0.822164246857143,1.76876786629001e-15
"hslO",-0.821532341428572,2.10255115812967e-15
"hchA",-2.12451086529412,2.32279540467234e-15
"insH6",0.913123698685714,2.32279540467234e-15
"ycaC",-2.91971009714286,3.46112534417183e-15
"dps",-2.59563903357143,4.74379081112692e-15
"elaB",-1.91387103942857,5.91818781842527e-15
"ggt",-2.45967731117647,7.67778570972054e-15
"insH4",0.913976470285714,8.5052990816364e-15
"luxS",-1.08324758352941,9.16370805670281e-15
"csgE",-1.16090550882353,1.25968836325636e-14
"ybaY",-1.77167381606061,1.33888661917782e-14
"dosC",-1.56300212828571,1.33888661917782e-14
"insH8",0.897530338285714,1.33888661917782e-14
"insH2",0.897174453828571,1.7505551844971e-14
"insH3",0.88853257,1.99511050353138e-14
"mscS",-1.93791211194286,3.02397515143086e-14
"yciG",-1.62427949257143,3.33136871096211e-14
"insH1",0.936020940857143,3.66577493137898e-14
"slyB",-0.885346671764706,3.88134369560069e-14
"fliC",-3.130133425,6.04202369846506e-14
"ptsH",-0.771565962942857,6.4372532534406e-14
"ptsG",-1.61663512225806,6.81698312454652e-14
"focA",-1.06348173142857,8.21378272146358e-14
"insH10",0.944259970941177,8.21378272146358e-14
"ybgS",-1.68067916285714,8.30223978628087e-14
"tpiA",-0.95611933,8.30223978628087e-14
"osmY",-2.45856456857143,1.17184304370884e-13
"rluD",-0.528561238857143,1.30221675352432e-13
"insH7",0.930814209411764,1.55180541822716e-13
"yciF",-2.38195450545455,1.88425208376733e-13
"insH5",0.9219969288,1.95329710096398e-13
"grxB",-1.36259376257143,2.28992564992048e-13
"ygiW",-1.09818892451429,2.55249860329055e-13
"yeaQ",-1.03107817742857,2.55249860329055e-13
"kbp",-2.21118113228571,2.97357517847864e-13
"talA",-1.71600937457143,3.17653913584023e-13
"insH9",0.919383621666667,5.26049543494925e-13
"dosP",-1.05369302029412,6.88391993704763e-13
"insH11",1.0057929903125,6.88391993704763e-13
"opgH",-0.600176789428571,6.98006263876516e-13
"phr",-0.856163295714286,8.78320029110242e-13
"fepG",0.913460674,9.47174712495654e-13
"adhE",-1.20450511969697,1.12859094370953e-12
"tktB",-1.98859975617647,1.32836845016524e-12
"ldhA",-0.898453152857143,1.45461701724164e-12
"bfr",-0.960482958857143,1.54001215695764e-12
"mlaC",-0.507475225285714,1.71625229333192e-12
"yodC",-1.115435492,1.81945369688616e-12
"lamB",3.57112027424242,1.97940548289431e-12
"mglC",2.9925571856,2.05648046046022e-12
"btuD",-1.19645171929412,3.5666197077835e-12
"eno",-1.14681610714286,3.58114080698128e-12
"insF4",0.835288398571429,4.43724620841565e-12
"pflB",-0.916356221562499,5.4291662989897e-12
"crr",-0.917207402571429,6.38404082174677e-12
"ybgA",-1.02472356205882,6.4835471633311e-12
"treA",-1.63155187371429,6.56881566525869e-12
"mnmC",0.587356648235294,9.73569430490259e-12
"menB",-0.775520366911765,1.0355632090334e-11
"yebV",-1.54071929028571,1.09000910961053e-11
"hybG",-0.685654054485714,1.35262014124128e-11
"wrbA",-1.93991758628571,1.48279268608099e-11
"cfa",-1.26516390371429,1.48279268608099e-11
"gltJ",0.758499075257143,1.48279268608099e-11
"yccU",-0.960959556764706,1.49744421787176e-11
"yegP",-2.11723864828571,1.59582110432983e-11
"lpoB",-0.587232698285714,1.59582110432983e-11
"epmC",0.5151552239375,1.59582110432983e-11
"gnd",-0.780775415428572,1.66735461730636e-11
"ybiV",-0.780452488285714,1.82013357781674e-11
"fbaB",-1.83995293771429,1.88142354234606e-11
"mltA",0.574405222485714,1.94317251264329e-11
"dnaK",-1.13352614945714,1.99509154847091e-11
"otsA",-2.02572728717143,2.03954762512742e-11
"yghU",-0.752710717685714,2.26459404917917e-11
"msyB",-1.96238592057143,2.8025233315023e-11
"prlC",-0.51312342,2.8025233315023e-11
"yiaG",-1.83223207668571,3.30390620299221e-11
"yceK",-1.74552275533333,3.30390620299221e-11
"insF3",0.767407411428571,3.45860364042421e-11
"nlpA",-1.09322445471429,3.66317344164674e-11
"gltK",0.970145942647058,3.87981515503657e-11
"pnuC",-0.666592885142857,4.0458714126871e-11
"yggE",-0.771548851228571,4.24189711093329e-11
"ptsI",-0.737679859314286,4.41280844390259e-11
"ybiU",-1.39792900457143,4.46613813259075e-11
"insF5",0.775185036171428,4.69627567304532e-11
"tcyJ",-0.771306063333333,4.77090889929596e-11
"bdm",-0.696636641470588,5.07719625369412e-11
"uvrD",0.476261917342857,5.17336894699618e-11
"fre",0.459589065714286,5.54789210550951e-11
"mcbR",-1.19534174657143,5.68210390250147e-11
"insF2",0.801697383428571,5.68210390250147e-11
"grpE",-0.630549313142857,5.68210390250147e-11
"ydhQ",-0.848265728529411,6.13043048304754e-11
"b1005",-1.52026873342857,6.15155191312327e-11
"osmF",-1.590801212,7.43506631296229e-11
"pepA",-0.400224059428571,7.43506631296229e-11
"ucpA",1.50546416505714,8.210931631739e-11
"msrA",-0.707148877771428,8.43877051335053e-11
"lon",-0.642698357428572,9.05991905418707e-11
"mlaB",-0.517429774514286,9.05991905418707e-11
"yceB",-0.411215624285714,9.78866369843714e-11
"fepC",0.784341450870968,1.15036110457073e-10
"nadE",-0.578278121742857,1.17373755619516e-10
"yccJ",-1.33584949064516,1.26373194503045e-10
"mdlB",0.642689567714286,1.33112369873497e-10
"otsB",-2.00657522131429,1.38967419793946e-10
"yiaF",-0.578850411885714,1.38967419793946e-10
"ydcV",-2.21739030160606,1.42531197599698e-10
"yobF",-0.889531706285714,1.42531197599698e-10
"yoaC",-1.59211703818182,1.49078906892302e-10
"iclR",0.699289070257143,1.51766952006174e-10
"csgB",-2.24437057542857,1.68670469160438e-10
"ung",0.398044138857143,1.68792740873772e-10
"panC",-0.677317044628571,1.70514701111809e-10
"hsdR",0.844298040588235,1.78370128202028e-10
"malG",2.64099808882353,1.79460785672603e-10
"pgl",-1.121594898,1.79460785672603e-10
"ygeH",0.592050923878788,1.79460785672603e-10
"ddpF",-0.838229699212121,1.95301398023032e-10
"groS",-1.08340216725714,1.95716457513528e-10
"ybeZ",-0.658618952485714,2.04511460419752e-10
"cnoX",-0.632759402352941,2.04511460419752e-10
"murI",0.5368373636,2.12976058562205e-10
"sodB",0.915579828571429,2.33425159052852e-10
"hinT",-0.416510316857143,2.34530610108157e-10
"pdeR",-0.8176891596,2.49568231175611e-10
"yjgR",-0.948371558941176,2.74185068199832e-10
"yhcO",-1.14344543727273,2.78172220584296e-10
"dkgA",-1.41088770725714,2.79073530805866e-10
"ybcW",1.33489634314286,2.98597305019645e-10
"ppa",-1.09459314424242,3.1154250111062e-10
"pgi",-0.906902114857143,3.41775434509868e-10
"malK",3.2706301230303,3.93015070789276e-10
"mrr",0.621647305457143,3.98233728921218e-10
"curA",-1.11075917628571,4.06622265496157e-10
"tap",-2.261093499375,4.11958679122916e-10
"nmpC",2.129923629,4.22476559833236e-10
"elaA",-0.711500832142857,4.33736203489828e-10
"insA5",0.682573931117647,4.42229344725642e-10
"preT",0.878243306125,4.45601132146638e-10
"cobS",0.519874890542857,4.76121477145791e-10
"eptB",0.943405331935484,4.85860841443832e-10
"nadA",-1.06956291823529,4.97410904591687e-10
"b1417",-1.14911319914286,5.56712118598935e-10
"ydiZ",-1.13070496,5.83149216850826e-10
"fabR",0.568384041828571,6.329246998483e-10
"dgcM",-1.36843245414286,6.58904495937205e-10
"tldE",-0.420425844228571,6.86453534820046e-10
"hdeA",-2.715960042,7.2654981489326e-10
"btsR",0.784485488617647,7.6136345871553e-10
"yicC",-0.559953753485714,8.11703312775226e-10
"relA",0.699105224121212,8.26951777181808e-10
"cheW",-2.06703042141935,9.10879383367897e-10
"entD",0.979742336225807,9.74890913750621e-10
"igaA",0.512880133028571,1.03489928770681e-09
"pflA",-0.462453026685714,1.03489928770681e-09
"hxpA",-0.450518457393939,1.09653090016632e-09
"gpmA",-0.564985627151515,1.16439754086609e-09
"eutB",0.687523343142857,1.17354918264419e-09
"nagK",0.599755235171428,1.17354918264419e-09
"dppD",1.245789854,1.18021778359859e-09
"manX",-1.25136059651515,1.19520217159599e-09
"ettA",-0.73734651030303,1.19520217159599e-09
"pdxH",-0.616105164058823,1.19520217159599e-09
"allR",-0.521163845352941,1.26295308997466e-09
"tehB",-0.455285491235294,1.26295308997466e-09
"cydB",-0.878218827142857,1.28633883157542e-09
"yjcF",0.537480236029411,1.30103739451909e-09
"insA2",0.596620849714286,1.41522228956117e-09
"narY",-1.67832387971429,1.45879336290279e-09
"ycjV",0.799499766727273,1.49102685463405e-09
"insA6",0.571454393828571,1.51901471359199e-09
"ompX",-0.745841424,1.5722038504261e-09
"manY",-1.26926833952941,1.59044936093407e-09
"gntT",0.897529613171428,1.71172105736424e-09
"yfcA",0.525157511588235,1.75227964462306e-09
"yniB",-0.515663650971429,1.75463171349745e-09
"csrA",-0.755046642,1.91910042839754e-09
"mdlA",0.5373542738,2.18259408752911e-09
"ybcV",0.731792209705882,2.21705688877859e-09
"grxC",-0.489591133228571,2.33045256410154e-09
"ybhP",-1.31921578142857,2.42798869122837e-09
"gadW",-1.66005563586207,2.44454510713899e-09
"maeA",-0.863112255428571,2.44454510713899e-09
"glsB",0.511264702424242,2.44454510713899e-09
"zwf",-0.478177747571429,2.49049735331678e-09
"yafV",-0.504662968823529,2.62360342471619e-09
"hslR",-0.617348840285714,2.63216176512742e-09
"b2090",1.05313728485714,2.64959461745603e-09
"ygiZ",-0.471910894428571,2.69818703646135e-09
"yibF",-0.797290117142857,2.74841924252415e-09
"yqjE",-1.56025568124242,3.06360757423716e-09
"yjjU",-0.436822061942857,3.0932108723452e-09
"mutS",0.465783428344828,3.28331107933635e-09
"rssA",-0.619819848285714,3.33660254034857e-09
"insA3",0.606231892514286,3.33660254034857e-09
"yqjD",-1.55657679502941,3.34267662682428e-09
"ybhB",-0.660202061771428,3.34267662682428e-09
"yhaH",-0.657182096470588,4.02164956579422e-09
"pepT",-0.73092407846875,4.29019475075837e-09
"ghrB",-0.728457794545455,4.49459225406134e-09
"hyfH",-0.700696154117647,4.49459225406134e-09
"nanY",-0.986299267058823,4.74038773444546e-09
"rihA",0.920347938714286,5.30263530887569e-09
"pdeF",0.844079879371428,5.30263530887569e-09
"ubiD",0.555991256714286,5.30263530887569e-09
"yhjG",-0.864183453885714,5.38146290329364e-09
"ybjX",-0.977496911,5.58854715913694e-09
"rmf",-1.6780466040625,5.90264371889335e-09
"lacI",0.7067503724,5.90264371889335e-09
"insA1",0.623338860085714,5.90264371889335e-09
"menC",-0.5249438572,6.14887241983218e-09
"chaB",-0.832286504090909,6.19246086720488e-09
"ydhS",-0.898336980147059,6.58824994741582e-09
"b3007",-0.511325304685714,6.67460953896883e-09
"tolC",-0.617161345727273,7.14730457166034e-09
"malM",2.77210830582857,7.20136476793478e-09
"hydN",0.612464207647059,7.20136476793478e-09
"dppF",0.985339296457143,7.29107132715e-09
"trxA",-0.432606136314286,7.98857873922475e-09
"yjgH",-0.95630300265625,8.08196418494019e-09
"yebF",-0.990799835,8.27412588835649e-09
"hypT",0.615560334787879,8.33818705061228e-09
"hdeB",-2.83351747058823,8.4108925568834e-09
"btuB",0.585576571205882,8.43640980462126e-09
"dppC",1.06321059494286,9.04286119711959e-09
"fdnG",-0.6016446278,9.04286119711959e-09
"cmoM",0.368198026428571,9.04286119711959e-09
"patD",-2.43184203290909,9.26900323333948e-09
"yjdN",-1.57506867790625,9.70390840777268e-09
"malF",3.11869370636364,1.03181012670932e-08
"prpC",-0.337973106470588,1.03181012670932e-08
"ymcE",-0.404983008571428,1.03499558390313e-08
"dicD",-0.579307284114286,1.08462280858764e-08
"fepD",0.601217359914286,1.11815861179598e-08
"thiB",0.447752891411765,1.11815861179598e-08
"yciE",-0.485526193257143,1.19935809823524e-08
"rpiA",-0.689815877171429,1.22591790083128e-08
"psiF",-0.952108069121212,1.27171678776389e-08
"insB5",0.710362049,1.34862481161772e-08
"efp",-0.591262684628571,1.34947907293806e-08
"soxS",1.06427460182857,1.4130070389456e-08
"ivy",-0.677890166028572,1.4130070389456e-08
"cheA",-1.47517687942857,1.44310675429613e-08
"gloA",-0.457480543542857,1.46238624873339e-08
"glpQ",1.75829315085714,1.61193501978892e-08
"mutY",-0.362252217942857,1.63445131068946e-08
"recC",0.321692780257143,1.71739881818472e-08
"qorA",-1.067096609375,1.752076908027e-08
"yafX",0.490179959057143,1.79901622043274e-08
"dnaJ",-0.704002347714286,1.94475934262107e-08
"pykF",-0.815682052571428,1.97918972193963e-08
"uvrA",-0.490991161969697,1.98626959612872e-08
"galF",-0.77682076367647,2.0032514806159e-08
"ackA",-0.445797951114286,2.04967878387766e-08
"hisQ",0.762798057342857,2.3485995234539e-08
"rzpD",0.6336479898,2.40650425236927e-08
"hemF",0.421515557885714,2.40650425236927e-08
"ybdR",-0.892622167142857,2.47443087435142e-08
