"Gene","logFC","adj.P.Val"
"gdhA",4.78863729607834,4.8889731296695e-72
"yraQ",2.77470857301535,9.25675310074031e-40
"mprA",-1.35527902113643,7.30698672988815e-32
"rbsC",2.49780629993823,2.45543154177162e-26
"apt",1.45049835117163,2.45543154177162e-26
"lysP",2.79067119378205,2.06098530798053e-25
"ycgH",-3.00671822485095,4.07436893073611e-25
"yedE",2.16907871388228,4.07436893073611e-25
"rbsA",2.55281190276027,3.98927942709076e-21
"tsuA",3.052039512981,6.50994576373257e-20
"sdaC",2.42193056759622,2.34576445894097e-19
"sdaB",2.50848273858085,3.46207318040315e-19
"rbsB",2.28898151304196,1.99607683643371e-18
"lysC",1.90860591758414,5.86641818205057e-18
"ptsG",1.30898503214181,1.44071567510909e-16
"tsuB",2.95034659569336,1.43433348099861e-15
"artQ",1.57857803936457,2.08050197334388e-15
"rbsK",1.65755854483081,1.13881752873834e-14
"uspD",-2.212979068603,5.2281787712555e-13
"nhaB",1.09349413106426,7.71871974741616e-13
"tatC",1.0373160789074,7.71871974741616e-13
"yiiS",-2.20338813078579,5.23077457878717e-12
"ycaC",-1.64792688291228,6.41477787484307e-12
"wcaM",-1.25533968828965,1.9453072553374e-11
"phoA",-1.41572395017431,2.27388407464484e-11
"wecA",1.06319498838633,6.02034487734169e-11
"dapB",2.63397424962968,6.57934923941434e-11
"gspC",3.05062504790689,1.2183118423086e-10
"fsr",1.65848930204264,1.2193662337183e-10
"rbsR",1.46864958285631,2.82370216958715e-10
"iraP",-2.39931495094436,4.02208951624219e-10
"dusB",1.47344410643195,8.00651182448251e-10
"evgA",-2.12122137092784,9.33755907139473e-10
"psiE",-2.19194366670182,1.01759392350697e-09
"idi",1.30876544130228,1.76923601360668e-09
"xanP",1.16815029278742,4.69527078578021e-09
"yeaH",-1.16427250677858,5.08165887511984e-09
"priB",1.15354446645986,5.61775874846348e-09
"artM",1.66834889458067,6.86828541312921e-09
"lit",-2.17020498123469,7.39783278246146e-09
"nmpC",1.74726172045522,7.39783278246146e-09
"trmD",1.12676286819384,8.63623960818642e-09
"rpsP",1.30945038064058,8.90358022929377e-09
"marR",1.48174315699958,9.4802788499665e-09
"yeiP",1.19287408386637,1.73434830598462e-08
"asnA",3.1376467225472,2.66092709962873e-08
"ilvG",-1.11672391348201,5.02765077882079e-08
"yjiT",-1.01046317803396,5.91163433903343e-08
"rimM",1.11969299223847,6.71324652162666e-08
"rbsD",4.06458278533021,1.10162640857714e-07
"ybcY",1.53580478824773,1.53732855048593e-07
"borD",1.40240560058217,1.91789902610307e-07
"yddA",3.10502536205444,1.97741332654014e-07
"yahK",-1.01064775876811,2.03114037944973e-07
"artP",1.34375884968497,2.24207193972796e-07
"csgD",-1.24998107107889,2.38078380414959e-07
"ycaO",1.20024865013398,2.47378629284549e-07
"dps",-1.4814179029248,3.4968917902005e-07
"rpsI",1.05772390839158,3.4968917902005e-07
"argH",1.3832275323878,3.91087082897847e-07
"csgF",-1.62887682487818,3.94791585544934e-07
"ybaE",1.38539666267216,6.04715575592535e-07
"rpsF",1.12990681428851,7.01413840422548e-07
"codB",1.57665119180382,7.73364833945056e-07
"argD",1.43742250930601,1.47080322795457e-06
"yjiC",-1.83278514354976,2.54123279058192e-06
"marA",1.35828715338242,2.8749715957399e-06
"ygaH",-2.01901060216365,3.03866702193761e-06
"iraD",-3.51169820625807,3.16260371694485e-06
"argG",1.41365802230426,3.60205638564634e-06
"yghG",-1.24326936511115,4.06585393455496e-06
"rpsJ",1.06741558688173,4.21861030117262e-06
"iclR",1.07754997065224,5.28103745035144e-06
"metE",2.19113105050358,7.48019831917299e-06
"rpsU",1.03911189730167,8.06906369514688e-06
"ompF",2.16388371071021,8.34003960312607e-06
"tapT",1.46374542772198,8.34070978658091e-06
"pyrD",1.02938600418696,8.44447510839535e-06
"hlyE",-1.49449958215739,1.01887330529664e-05
"fadL",1.18428171002858,1.01887330529664e-05
"gatC",1.55014148855843,1.04156337909034e-05
"fis",1.66280950597755,1.20373785043069e-05
"rplK",1.0011022515096,1.20373785043069e-05
"evgS",-1.52858494130262,1.22164198059066e-05
"ybhJ",-1.68900178255534,1.45954253705552e-05
"carB",1.19568866050713,1.47191285294471e-05
"rimP",1.0016080410649,1.5062877292859e-05
