"Gene","logFC","adj.P.Val"
"mprA",-1.35527902113643,7.30698672988815e-32
"ycgH",-3.00671822485095,4.07436893073611e-25
"uspD",-2.212979068603,5.2281787712555e-13
"yiiS",-2.20338813078579,5.23077457878717e-12
"ycaC",-1.64792688291228,6.41477787484307e-12
"wcaM",-1.25533968828965,1.9453072553374e-11
"phoA",-1.41572395017431,2.27388407464484e-11
"iraP",-2.39931495094436,4.02208951624219e-10
"evgA",-2.12122137092784,9.33755907139473e-10
"psiE",-2.19194366670182,1.01759392350697e-09
"yeaH",-1.16427250677858,5.08165887511984e-09
"lit",-2.17020498123469,7.39783278246146e-09
"ilvG",-1.11672391348201,5.02765077882079e-08
"yjiT",-1.01046317803396,5.91163433903343e-08
"yahK",-1.01064775876811,2.03114037944973e-07
"csgD",-1.24998107107889,2.38078380414959e-07
"dps",-1.4814179029248,3.4968917902005e-07
"csgF",-1.62887682487818,3.94791585544934e-07
"yjiC",-1.83278514354976,2.54123279058192e-06
"ygaH",-2.01901060216365,3.03866702193761e-06
"iraD",-3.51169820625807,3.16260371694485e-06
"yghG",-1.24326936511115,4.06585393455496e-06
"hlyE",-1.49449958215739,1.01887330529664e-05
"evgS",-1.52858494130262,1.22164198059066e-05
"ybhJ",-1.68900178255534,1.45954253705552e-05
"fbaB",-1.00565392737831,1.61665088098616e-05
"rflP",-1.22922346033019,2.32413464729508e-05
"rmf",-1.86364737939784,2.66136054903181e-05
"yfdQ",-1.36747820560622,2.76265778036587e-05
"narV",-1.06248632959006,5.27982032909827e-05
"ydiF",-1.72052656224471,0.000108229604282637
"gadC",-1.0271005242599,0.000150378707673344
"cysA",-1.42931729821119,0.000175764057038745
"bioD",-1.34203824475142,0.0002335058853601
"rseA",-1.14365823005221,0.000304327851902984
"iscU",-1.56273889552518,0.000389239058198281
"dgcT",-1.3668053931994,0.000424852246727029
"emrK",-1.43630591989891,0.00046927022559676
"rdcB",-1.21578650539067,0.000568451499570536
"arnB",-1.25702791240591,0.000611958232608755
"osmC",-1.13974564164243,0.000762577310686046
"matA",-1.43523265516854,0.000837712692795033
"narW",-1.86774114422906,0.00102101901358207
"cysN",-1.71609893003547,0.00111944228724867
"yobF",-1.23516561088536,0.00116622267578475
"iscA",-1.33315971355465,0.00122700042073615
"envY",-1.10562732258473,0.00122700042073615
"yohC",-1.13501969334056,0.00143610295035263
"nanM",-1.09170819393266,0.0015092479420348
"puuC",-1.4231757363522,0.00151659987648429
"aceB",-1.75193657893912,0.00159248566395312
"ypjC",-1.5997221824477,0.00178743818440457
"dosC",-1.33452363441532,0.00179996817736608
"tauD",-1.10745179952677,0.00200062524322768
"csgE",-1.39266895068362,0.00209908664540444
"lsrG",-1.35693653930848,0.00231701504553769
"tauB",-1.74318260932451,0.00237237685468523
"chbF",-1.09441233542222,0.00260067613077054
"yebV",-1.49498272076738,0.00270662414385939
"ydaW",-1.02551698791706,0.00278589394348188
"aceA",-1.75742206588149,0.00283084428027109
"yghF",-1.08654060867275,0.00288305214885268
"cysD",-1.59129636276105,0.00294746858098764
"bioB",-1.27077204253263,0.00296449366740545
"ydfE",-1.18060210375321,0.0032892639649806
"puuE",-1.23432675307189,0.00349192898527748
"yohJ",-1.06475787842146,0.00390214996414364
"aceK",-1.39309279586393,0.0040966857255856
"cysI",-1.27307644853977,0.00413263722927893
"lsrC",-1.0728836721235,0.00449360064642513
"ydiO",-1.16675788197604,0.00450539009079052
"yjcB",-1.2284160705155,0.00457697381896911
"yaiY",-1.82100180776218,0.00462778288795145
"iscR",-1.71677288345665,0.00510492090214857
"cysH",-1.28804007647702,0.00579975665822583
"yciW",-1.69989004915955,0.00675486414619951
"iscS",-1.44045403827308,0.00726580134520771
"puuB",-1.19619661691406,0.00849092686501233
"yghX",-1.08279268490655,0.00850445453641696
"ybcM",-1.16996058896216,0.00878574832236118
"bioC",-1.33224729126568,0.00921410891738715
"gltI",-1.13887642903927,0.00937096841205859
"bioF",-1.23747871674002,0.00999841738109572
"bioA",-1.0926627738182,0.0102554699109505
"cysW",-1.06166384946522,0.0105779320318458
"nanS",-1.17168606507419,0.011012268347922
"yibA",-1.29791551935666,0.0130037208738511
"raiA",-1.71306719256175,0.0139439047306886
"sufS",-1.29009846829873,0.0151799446913689
"cysJ",-1.17600463722373,0.0168738295514014
"pdeL",-1.11587894548878,0.0168738295514014
"ariR",-2.17885079345297,0.0196469687933095
"ydeI",-1.57968449577328,0.021348424263511
"ompN",-1.212227412797,0.0216165222973183
"ypeC",-1.02226707378452,0.0217298797314427
"tauA",-1.69040127364232,0.023788669052836
"yffO",-1.01800814035024,0.0249340351137083
"yccX",-1.07426375037039,0.026981373160873
"cysP",-1.03618583169658,0.0279107275170173
"putA",-1.17897334834558,0.0317848774382626
"cysC",-1.23941349290504,0.0344192793406864
"ydeQ",-1.05445832671856,0.0354044612462317
"dkgA",-1.12621782710992,0.0409455405504688
"fimZ",-1.37748726437934,0.0491393424501112
"cbl",-1.55009747425296,0.0496799174464115
"yhdV",-1.34496826014435,0.0496799174464115
