"Gene","logFC","adj.P.Val","P","SignedZ"
"gdhA",4.78863729607834,4.8889731296695e-72,4.8889731296695e-72,17.9489687794568
"yraQ",2.77470857301535,9.25675310074031e-40,9.25675310074031e-40,13.1959604228582
"mprA",-1.35527902113643,7.30698672988815e-32,7.30698672988815e-32,-11.7471164978857
"rbsC",2.49780629993823,2.45543154177162e-26,2.45543154177162e-26,10.6180863285652
"apt",1.45049835117163,2.45543154177162e-26,2.45543154177162e-26,10.6180863285652
"lysP",2.79067119378205,2.06098530798053e-25,2.06098530798053e-25,10.417595156479
"ycgH",-3.00671822485095,4.07436893073611e-25,4.07436893073611e-25,-10.3525614113357
"yedE",2.16907871388228,4.07436893073611e-25,4.07436893073611e-25,10.3525614113357
"rbsA",2.55281190276027,3.98927942709076e-21,3.98927942709076e-21,9.43289383413105
"tsuA",3.052039512981,6.50994576373257e-20,6.50994576373257e-20,9.13550957777414
"sdaC",2.42193056759622,2.34576445894097e-19,2.34576445894097e-19,8.99577260308601
"sdaB",2.50848273858085,3.46207318040315e-19,3.46207318040315e-19,8.95291790853039
"rbsB",2.28898151304196,1.99607683643371e-18,1.99607683643371e-18,8.75751174406375
"lysC",1.90860591758414,5.86641818205057e-18,5.86641818205057e-18,8.63512241462461
"ptsG",1.30898503214181,1.44071567510909e-16,1.44071567510909e-16,8.26131893361785
"tsuB",2.95034659569336,1.43433348099861e-15,1.43433348099861e-15,7.982470281828
"artQ",1.57857803936457,2.08050197334388e-15,2.08050197334388e-15,7.93644999103152
"rbsK",1.65755854483081,1.13881752873834e-14,1.13881752873834e-14,7.72271036194964
"rplM",0.959361940248397,1.66637486743714e-13,1.66637486743714e-13,7.37315425352515
"uspD",-2.212979068603,5.2281787712555e-13,5.2281787712555e-13,-7.2192325378574
"nhaB",1.09349413106426,7.71871974741616e-13,7.71871974741616e-13,7.1660595699793
"tatC",1.0373160789074,7.71871974741616e-13,7.71871974741616e-13,7.1660595699793
"yiiS",-2.20338813078579,5.23077457878717e-12,5.23077457878717e-12,-6.89916864283837
"mutS",0.917243583484464,5.23077457878717e-12,5.23077457878717e-12,6.89916864283837
"ycaC",-1.64792688291228,6.41477787484307e-12,6.41477787484307e-12,-6.87012031448608
"ydgJ",-0.721287137833596,7.22825865458981e-12,7.22825865458981e-12,-6.85306823275543
"wcaM",-1.25533968828965,1.9453072553374e-11,1.9453072553374e-11,-6.71007025997256
"phoA",-1.41572395017431,2.27388407464484e-11,2.27388407464484e-11,-6.68725953677093
"wecA",1.06319498838633,6.02034487734169e-11,6.02034487734169e-11,6.54323169039117
"dapB",2.63397424962968,6.57934923941434e-11,6.57934923941434e-11,6.52994580830626
"gspC",3.05062504790689,1.2183118423086e-10,1.2183118423086e-10,6.43703333590998
"fsr",1.65848930204264,1.2193662337183e-10,1.2193662337183e-10,6.43690197668911
"lpxM",0.801683530185251,1.32677955859534e-10,1.32677955859534e-10,6.42407021395386
"rbsR",1.46864958285631,2.82370216958715e-10,2.82370216958715e-10,6.30816110264987
"iraP",-2.39931495094436,4.02208951624219e-10,4.02208951624219e-10,-6.25316804382638
"dusB",1.47344410643195,8.00651182448251e-10,8.00651182448251e-10,6.14479844114403
"evgA",-2.12122137092784,9.33755907139473e-10,9.33755907139473e-10,-6.12034052992361
"psiE",-2.19194366670182,1.01759392350697e-09,1.01759392350697e-09,-6.10662586854046
"pldA",0.789916692547914,1.21573894083166e-09,1.21573894083166e-09,6.07815410113747
"idi",1.30876544130228,1.76923601360668e-09,1.76923601360668e-09,6.01768999456366
"xanP",1.16815029278742,4.69527078578021e-09,4.69527078578021e-09,5.85762723256931
"yeaH",-1.16427250677858,5.08165887511984e-09,5.08165887511984e-09,-5.84447580602751
"priB",1.15354446645986,5.61775874846348e-09,5.61775874846348e-09,5.82775613779559
"artM",1.66834889458067,6.86828541312921e-09,6.86828541312921e-09,5.79411385533801
"lit",-2.17020498123469,7.39783278246146e-09,7.39783278246146e-09,-5.78163443615236
"nmpC",1.74726172045522,7.39783278246146e-09,7.39783278246146e-09,5.78163443615236
"trmD",1.12676286819384,8.63623960818642e-09,8.63623960818642e-09,5.75554561719186
"rpsP",1.30945038064058,8.90358022929377e-09,8.90358022929377e-09,5.75039382878509
"marR",1.48174315699958,9.4802788499665e-09,9.4802788499665e-09,5.73977434383465
"wzzE",0.94748835871609,1.31203390407979e-08,1.31203390407979e-08,5.68449027189231
"ppa",0.804098441303959,1.63614652700421e-08,1.63614652700421e-08,5.64663924715068
"aroD",-0.825420370781176,1.71010643867578e-08,1.71010643867578e-08,-5.63903010075458
"yeiP",1.19287408386637,1.73434830598462e-08,1.73434830598462e-08,5.63660547071228
"mipA",0.798454579277457,1.85536701914827e-08,1.85536701914827e-08,5.62497327022121
"asnA",3.1376467225472,2.66092709962873e-08,2.66092709962873e-08,5.56239790467943
"rplA",0.929392919810842,3.51565852859121e-08,3.51565852859121e-08,5.51360063836079
"ilvG",-1.11672391348201,5.02765077882079e-08,5.02765077882079e-08,-5.4503297653836
"yjiT",-1.01046317803396,5.91163433903343e-08,5.91163433903343e-08,-5.42145359727329
"rimM",1.11969299223847,6.71324652162666e-08,6.71324652162666e-08,5.39868140829472
"nupC",0.738647718527074,1.0261762613715e-07,1.0261762613715e-07,5.32202648684239
"rbsD",4.06458278533021,1.10162640857714e-07,1.10162640857714e-07,5.30910866782091
"ybcY",1.53580478824773,1.53732855048593e-07,1.53732855048593e-07,5.24803169310393
"borD",1.40240560058217,1.91789902610307e-07,1.91789902610307e-07,5.20712403288582
"yddA",3.10502536205444,1.97741332654014e-07,1.97741332654014e-07,5.20144844054184
"yahK",-1.01064775876811,2.03114037944973e-07,2.03114037944973e-07,-5.19646480131939
"otsA",-0.89764418203801,2.09164259058193e-07,2.09164259058193e-07,-5.19100299679007
"artP",1.34375884968497,2.24207193972796e-07,2.24207193972796e-07,5.17805828261857
"csgD",-1.24998107107889,2.38078380414959e-07,2.38078380414959e-07,-5.16684512409991
"ycaO",1.20024865013398,2.47378629284549e-07,2.47378629284549e-07,5.15967520228613
"dps",-1.4814179029248,3.4968917902005e-07,3.4968917902005e-07,-5.0944857257911
"rpsI",1.05772390839158,3.4968917902005e-07,3.4968917902005e-07,5.0944857257911
"rplY",0.908018298423705,3.4968917902005e-07,3.4968917902005e-07,5.0944857257911
"argH",1.3832275323878,3.91087082897847e-07,3.91087082897847e-07,5.07324566084226
"galF",-0.727917747774733,3.91087082897847e-07,3.91087082897847e-07,-5.07324566084226
"csgF",-1.62887682487818,3.94791585544934e-07,3.94791585544934e-07,-5.07145212654418
"rpsB",0.783790799083625,4.70621986736156e-07,4.70621986736156e-07,5.03791840013978
"uvrY",-0.780147845581724,5.48463648144413e-07,5.48463648144413e-07,-5.00853337843214
"ybaE",1.38539666267216,6.04715575592535e-07,6.04715575592535e-07,4.9897050383491
"rpsF",1.12990681428851,7.01413840422548e-07,7.01413840422548e-07,4.96097177605983
"codB",1.57665119180382,7.73364833945056e-07,7.73364833945056e-07,4.94197159966065
"rplI",0.979298545298204,7.73364833945056e-07,7.73364833945056e-07,4.94197159966065
"dapD",0.863925126707101,7.73364833945056e-07,7.73364833945056e-07,4.94197159966065
"lepB",0.48114972362586,7.73364833945056e-07,7.73364833945056e-07,4.94197159966065
"fabA",0.909692376382592,8.02502426802226e-07,8.02502426802226e-07,4.93475789624646
"ghxP",0.869482472507841,8.16754411210548e-07,8.16754411210548e-07,4.93132087815844
"yphH",0.86965069746823,9.93203527865808e-07,9.93203527865808e-07,4.8929802975957
"argD",1.43742250930601,1.47080322795457e-06,1.47080322795457e-06,4.81516226796235
"rplJ",0.938935232483729,2.43142079835122e-06,2.43142079835122e-06,4.71379768689049
"yjiC",-1.83278514354976,2.54123279058192e-06,2.54123279058192e-06,-4.70479330770738
"marA",1.35828715338242,2.8749715957399e-06,2.8749715957399e-06,4.6795557637919
"ygaH",-2.01901060216365,3.03866702193761e-06,3.03866702193761e-06,-4.66818873427114
"iraD",-3.51169820625807,3.16260371694485e-06,3.16260371694485e-06,-4.65996681237993
"argG",1.41365802230426,3.60205638564634e-06,3.60205638564634e-06,4.63311423746175
"yghG",-1.24326936511115,4.06585393455496e-06,4.06585393455496e-06,-4.60798734966867
"rpsJ",1.06741558688173,4.21861030117262e-06,4.21861030117262e-06,4.60031080267501
"qorA",-0.872484577285238,4.34284549842407e-06,4.34284549842407e-06,-4.59426147859039
"prmA",0.627258841533489,4.76932319637867e-06,4.76932319637867e-06,4.57468706106457
"msrQ",-0.954626517416117,4.97244889903896e-06,4.97244889903896e-06,-4.56594679255855
"iclR",1.07754997065224,5.28103745035144e-06,5.28103745035144e-06,4.55330200444982
"hha",0.904139773432864,5.28103745035144e-06,5.28103745035144e-06,4.55330200444982
"ldtA",-0.593217253388163,6.41839953719562e-06,6.41839953719562e-06,-4.51211623670949
"pppA",-0.795658944602078,6.97783220025461e-06,6.97783220025461e-06,-4.49436357193592
"metE",2.19113105050358,7.48019831917299e-06,7.48019831917299e-06,4.47954595985698
"rpsU",1.03911189730167,8.06906369514688e-06,8.06906369514688e-06,4.46334324129174
"ygeA",-0.806267334985662,8.24088122997511e-06,8.24088122997511e-06,-4.45882852905685
"ompF",2.16388371071021,8.34003960312607e-06,8.34003960312607e-06,4.45626380003586
"mreC",0.837056105850387,8.34003960312607e-06,8.34003960312607e-06,4.45626380003586
"tapT",1.46374542772198,8.34070978658091e-06,8.34070978658091e-06,4.45624656511844
"pyrD",1.02938600418696,8.44447510839535e-06,8.44447510839535e-06,4.45359390159022
"hlyE",-1.49449958215739,1.01887330529664e-05,1.01887330529664e-05,-4.41312881825148
"fadL",1.18428171002858,1.01887330529664e-05,1.01887330529664e-05,4.41312881825148
"gatC",1.55014148855843,1.04156337909034e-05,1.04156337909034e-05,4.4083599502382
"infA",0.945329462775266,1.14627899218643e-05,1.14627899218643e-05,4.3875628049859
"rpoA",0.71989298264557,1.14627899218643e-05,1.14627899218643e-05,4.3875628049859
"fis",1.66280950597755,1.20373785043069e-05,1.20373785043069e-05,4.3769097532891
"rplK",1.0011022515096,1.20373785043069e-05,1.20373785043069e-05,4.3769097532891
"evgS",-1.52858494130262,1.22164198059066e-05,1.22164198059066e-05,-4.3736893309553
"yidC",0.852535840266487,1.22798195095687e-05,1.22798195095687e-05,4.37255974840696
"ybjN",0.799819271962538,1.32405797377845e-05,1.32405797377845e-05,4.35609091786522
"ybhJ",-1.68900178255534,1.45954253705552e-05,1.45954253705552e-05,-4.33470720764738
"carB",1.19568866050713,1.47191285294471e-05,1.47191285294471e-05,4.33285017118028
"bepA",-0.803272957909526,1.48493052707329e-05,1.48493052707329e-05,-4.3309119553737
"rimP",1.0016080410649,1.5062877292859e-05,1.5062877292859e-05,4.32776688112902
"fbaB",-1.00565392737831,1.61665088098616e-05,1.61665088098616e-05,-4.31216312236247
"yeaG",-0.907181729422319,1.61665088098616e-05,1.61665088098616e-05,-4.31216312236247
"ptrA",-0.519972831539696,1.77164299724366e-05,1.77164299724366e-05,-4.29188299726299
"secF",0.692819359652309,1.83985225126132e-05,1.83985225126132e-05,4.28348896809803
"clpA",-0.651692046305828,1.90827060148305e-05,1.90827060148305e-05,-4.27536189920715
"artI",1.26574967114398,1.9914062413633e-05,1.9914062413633e-05,4.26585215841303
"queC",0.774201867465044,1.99309318709194e-05,1.99309318709194e-05,4.26566313234751
"mreD",0.975228970714875,2.12669561455611e-05,2.12669561455611e-05,4.25115642658355
"pyrE",1.17187192140112,2.24949304311734e-05,2.24949304311734e-05,4.23856874366015
"rflP",-1.22922346033019,2.32413464729508e-05,2.32413464729508e-05,-4.23123328984211
"gstA",-0.846506713106986,2.32413464729508e-05,2.32413464729508e-05,-4.23123328984211
"tufB",0.796409779508366,2.32413464729508e-05,2.32413464729508e-05,4.23123328984211
"cysS",0.52851435572276,2.32413464729508e-05,2.32413464729508e-05,4.23123328984211
"rmf",-1.86364737939784,2.66136054903181e-05,2.66136054903181e-05,-4.20066166244204
"ynjI",1.42698130734094,2.66136054903181e-05,2.66136054903181e-05,4.20066166244204
"yfdQ",-1.36747820560622,2.76265778036587e-05,2.76265778036587e-05,-4.19219712633973
"msrP",-0.707382153788941,2.82909269162077e-05,2.82909269162077e-05,-4.18680452918669
"rplL",1.0288793989971,3.13176029696573e-05,3.13176029696573e-05,4.16366754091274
"zupT",-0.599550614734536,3.13176029696573e-05,3.13176029696573e-05,-4.16366754091274
