"","42C_A3_R1_44C","42C_A3_R2_44C","A3_F181_R1_44C","A3_F181_R2_44C","A3_F228_R1_44C","A3_F228_R2_44C","A4_F244_R1_44C","A4_F244_R2_44C","A8_F232_R1_44C","A8_F232_R2_44C","A9_F200_R1_44C","A9_F200_R2_44C","A9_F255_R1_44C","A9_F255_R2_44C","A10_F210_R1_44C","A10_F210_R2_44C","A16_F258_R1_44C","A16_F258_R2_44C"
"abpA",9.4702236757133,9.32470580388746,9.59345091084316,9.85825192932459,9.33411958539028,9.33512344358214,9.61921068269644,9.67721891263115,9.17590086987757,9.26716570796919,9.55502261024752,9.34172984596031,9.39685302531923,9.55521581627161,9.33224577937777,9.32969117839339,9.52120217691233,9.71059632698891
"abpB",9.75754545383733,9.67951052679981,9.84885416715897,9.74660286464179,9.43597657002359,9.38322280110815,9.06233654805017,9.06425605744091,9.38339586497031,9.33314587484687,9.52029571940047,9.6944307468893,9.63764386092075,9.55740549112501,9.54830989993502,9.50045044392053,9.58407603021729,9.72790058293734
"abrB",6.13964917742889,5.46306134003044,6.76654847710138,6.36938468793138,6.49629520431357,5.60246318196672,5.7792504789042,5.67194146033907,5.65912720638851,5.63090814237463,5.40304931978041,5.60267851862648,5.76723746546803,5.73727546842561,6.41747650628204,5.8262888581086,5.5542408427083,5.90498956587502
"accA",10.7506214771396,10.7661523245941,11.053948178353,11.0247814589831,11.3290240199375,11.35734731798,11.0466142588334,11.2544831768676,11.3116849986797,11.3728739747074,11.0819874302567,10.8025181360619,10.9705642267824,11.0633416709575,10.9577541956438,10.7899558226806,11.2804224565728,11.1880230470261
"accB",10.080040614174,9.880378015707,10.3906615462407,10.1567180266345,10.3168263096224,10.5423155888619,10.4206536446013,10.6585080408729,10.3823866896595,10.431324186641,10.3784645526555,10.2545280559504,10.5046620675389,10.5242661648102,10.0732231574197,10.2008957276278,10.4539617504924,10.1816372261794
"accC",12.0878982661283,11.9226215907036,12.3031061614609,12.370395116051,12.5057643523313,12.6902393830922,12.5165524122422,12.7947199430778,12.592860528118,12.5962721738961,12.4749430892832,12.3422375773746,12.6346693614094,12.6237652160858,12.4290728547167,12.2509502290548,12.6592458900255,12.5018928991404
"accD",11.1243605890662,11.185514660019,11.4924000434086,11.5498437743866,11.7206842091012,11.6770191877341,11.4145979905046,11.6241025149287,11.4402496997589,11.4237881316735,11.5481364956939,11.379404320847,11.5746293430622,11.4971059229604,11.720551074414,11.5756275240644,11.7673773994112,11.7720602125017
"aceA",15.2475617503454,15.3524287712129,12.35306768186,12.8009230065144,13.5137026968393,14.1384497856375,13.395864652962,13.914587294089,13.3668723054287,13.0059873694596,13.7349297804884,14.4916430610468,14.1300361334428,14.429385660511,13.0293457368661,13.1709467202183,12.4051270399681,12.1412765488848
"aceB",15.9703758825599,16.1101191075217,13.4356349420157,13.7367262037128,14.3451052186213,14.9468398004334,14.2326897401787,14.6854189364041,13.926971438831,13.606438802545,14.4066811038006,15.2375692331944,14.7726024583198,15.066452421607,13.8073669283432,13.9833911625718,13.1201431830841,12.9479674261806
"aceE",13.8861110846101,13.8060072238199,13.6264842077261,13.5092461813927,14.0631757239235,14.1203548282748,14.2487531342154,14.4200877874202,14.0623533227138,14.0501671825293,13.6750338799128,14.3099398951217,13.9877590859404,14.0503295220816,13.9098065128211,13.586188948849,13.7118681188038,13.2751552340896
"aceF",13.0758120694775,13.0481529065051,13.0204363879048,12.8427430141604,13.2928453556178,13.3514138519757,13.5069887251389,13.592315859953,13.3488328940671,13.2903015775921,12.9981353875665,13.5448456597235,13.3000459210292,13.3455907306622,13.259149805026,12.8588047065298,13.0697867268662,12.6222155121942
"aceK",12.1254236787659,12.3150052133534,9.75681084741375,10.4945614075246,10.9150354343478,11.3725442116464,10.7199031267829,11.0818147058581,10.6625566508594,10.4364196437609,11.152213090919,11.53961276091,11.3198168470863,11.5516565676494,10.4405253440102,10.5510549596152,9.98354538944716,9.78011022969808
"ackA",11.1480989980736,11.2246774088737,12.4462414581292,12.1099624191013,11.9395112147319,11.3198279436358,11.7933062603989,11.8152853296307,11.4642155676864,11.4129728203065,11.202352881476,11.6193513379037,11.4366795154961,11.3949254900152,11.8590713159458,11.3116535269305,11.3463739394552,11.2183864996252
