"Gene","logFC","adj.P.Val"
"udk",-1.06705023507029,6.95824807657454e-21
"yidF",3.68635293548486,9.35417143397351e-21
"tilS",-1.09438836780984,1.1109566580699e-20
"can",-1.87067363226173,1.22087350820646e-20
"lysO",-1.86231405520071,1.54146715786103e-20
"yidC",-1.28352172889671,1.60320943450774e-20
"nirD",7.57140873995469,1.80068869560517e-20
"yecH",5.02189396301208,2.2341868014974e-20
"trxC",-2.20572386210307,3.0944450408186e-20
"metA",-3.25255962137704,3.29212527277861e-20
"yfcZ",3.10121557646865,3.49305889027184e-20
"ybdL",-2.1546148905485,3.73253551309464e-20
"suhB",-2.23354401088747,4.96313025384767e-20
"tdk",-1.0567174140376,6.98047635202765e-20
"gsk",-1.29262421394421,7.48038525223335e-20
"hybO",4.40509904796567,1.22667643458661e-19
"gldA",4.64998923994157,1.60739070359266e-19
"yfcC",4.98201733423265,1.6867139351628e-19
"uspF",2.73850693379948,3.54964834823722e-19
"pstC",-1.51508251181206,3.87548916251734e-19
"thiP",-2.43832110940975,4.13046592178888e-19
"eptC",-1.8805720430592,4.44537865493869e-19
"rpsT",-1.71517554867303,4.88112338384079e-19
"rnr",1.08138020775482,1.60090687994137e-18
"rdgC",-1.15604745212804,1.63678016462061e-18
"eamA",-1.51412953883463,1.65232998211924e-18
"zur",1.44710734109507,2.45518781045268e-18
"kefG",-1.87465916781343,2.60413758507979e-18
"rlmN",-1.11653894003582,2.82629790191957e-18
"hsdS",-2.18355760307599,3.6783408701128e-18
"pdeA",-1.26625995868364,3.6783408701128e-18
"ubiT",2.53046169940252,4.0067673543687e-18
"ydjX",3.8108802437202,4.59091856937097e-18
"alaE",5.69485285958058,4.82330847665924e-18
"mreC",-1.48968279174963,4.84714916935465e-18
"adk",-1.88526458950965,4.95444548492176e-18
"mmuP",-2.31628606445839,7.40662458419997e-18
"tolQ",-1.14753608529073,1.13313737654163e-17
"hcr",4.47784673280933,1.32585759604029e-17
"dhaL",2.42818107875205,1.65235002877401e-17
"puuR",-1.97947208966962,1.89344724744239e-17
"ariR",-2.5223169547759,2.05526179211142e-17
"ubiV",4.67118794612841,2.07207067929326e-17
"dcuB",5.62301077803488,2.30343525865746e-17
"trhP",-1.67145763566806,2.52587240501609e-17
"cmk",-1.66066941414722,2.57122853331738e-17
"hisD",4.28750500431207,2.70425197066707e-17
"ycbJ",3.89355276752138,2.99748399041909e-17
"betT",-2.23289449996801,3.36912431035362e-17
"ycjW",-1.18065652399929,3.67388422424176e-17
"ackA",2.57993875273958,4.52038015628358e-17
"fis",-1.9239731369068,5.51807817681439e-17
"emtA",-1.29024553565812,6.09181682388124e-17
"metR",-2.80901277081719,8.77606746365967e-17
"ydcR",-1.05972273784597,8.77606746365967e-17
"astC",-2.3553121457774,1.09402781702341e-16
"ynjE",4.0019563005818,1.17180780366094e-16
"ghxP",-3.25119021245144,1.30329585217148e-16
