"Gene","logFC","adj.P.Val"
"ygiM",-1.78172329564587,2.83073140447293e-16
"tyrP",-2.03654192586829,3.69629070020675e-16
"ynaJ",-1.98317226156805,4.47816673108927e-16
"ugpA",-2.82271081957438,5.31539682291988e-16
"rnpA",-1.96591470277496,3.37434989513434e-15
"fadB",-2.45867070561063,3.79469201281336e-15
"rpsU",-2.33654158420297,4.02630609472923e-15
"holE",-2.04312038299827,5.07970194916832e-15
"rimO",-2.05436114642988,6.33732318669684e-15
"gpt",-1.9012731529634,7.05666675898838e-15
"rph",-2.29903447198333,7.11486325808069e-15
"tolR",-1.0950228735458,7.95407973591632e-15
"tyrA",-1.63104176786642,8.85725373644213e-15
"ridA",-2.01106068602504,1.39373100432588e-14
"hsdM",-1.04178613306936,1.5244588040603e-14
"csgG",-1.63155136357583,1.79427287106788e-14
"ispE",-1.25500281737108,1.95126787740815e-14
"aroF",-1.97283983902954,1.95301609235329e-14
"pyrL",-3.74297352726539,3.03200812803793e-14
"waaA",-1.3061250974572,3.53011882894139e-14
"yraQ",-1.49337285243709,5.05618430446128e-14
"metK",-3.13615068271591,5.42301348257867e-14
"lysP",-1.34129013600071,9.75998697752349e-14
"rsd",-1.108258675495,1.45499898931703e-13
"ortT",-2.02269093345953,1.79055887330205e-13
"rlhA",-1.30348898123628,2.25634383609228e-13
"rimI",-1.15288315133908,3.33811192308927e-13
"ybjS",-1.51092718417052,4.13078804629644e-13
"ispF",-1.06287105866626,4.13078804629644e-13
"bipA",-1.14946497263839,4.42256070540966e-13
"mglB",-2.92583575357622,5.27925655218437e-13
"ygfF",-1.84815829281672,5.32713430970346e-13
"yecF",-1.46246772293922,6.39837576067519e-13
"pth",-1.25362737866336,6.7308928214359e-13
"csgF",-2.8855719961651,9.87307893313624e-13
"yajR",-1.02367282366758,1.33572327459411e-12
"ynaI",-1.47889962466432,1.3770649366378e-12
"yqgB",-1.6908165166331,1.63136712529801e-12
"pyrC",-3.28930366083452,2.50160723410581e-12
"betI",-2.68173026315651,2.66126994408968e-12
"avtA",-1.20262679672483,3.62729952507179e-12
"yhfK",-1.01963251738237,3.66506561554652e-12
"ygaH",-1.21119133657265,4.18409392997214e-12
"evgS",-2.43536324661403,4.31492294932642e-12
"rpmB",-1.35480725147296,4.85744907201177e-12
"yqhA",-1.28572648242823,8.11407119457518e-12
"yeiP",-1.17387575472809,8.17802558535626e-12
"lldR",-1.58416561562159,1.19162521748788e-11
"recF",-1.19155017959605,1.53199218625063e-11
"mqo",-2.95862628575797,1.75265825230961e-11
"yajG",-1.19106429596501,1.75265825230961e-11
"mepH",-1.37412083088054,1.80178367400606e-11
"yfdH",-1.22364992277833,2.75289264341021e-11
"csgE",-2.86507249818101,2.78134282887488e-11
"yciA",-1.65555123057295,4.38317882854768e-11
"yibQ",-1.39187405310204,4.44885162952985e-11
"purR",-1.56514586724796,4.69219983286542e-11
"rluC",-1.62600414945609,6.60915936470076e-11
"lnt",-1.06026129452042,6.73061034165131e-11
"yfiC",-1.02168550085975,8.29211862867985e-11
"ubiX",-1.10896722239735,8.3435842606334e-11
"ugpE",-2.09832597035797,9.19521539619402e-11
"mglC",-2.05430710862888,9.37488451167974e-11
"ybfE",-1.08601056778399,1.42915577072913e-10
"yedL",-1.70174850994519,1.49646488769542e-10
"emrA",-1.68657337322604,1.49736732827341e-10
"mltB",-1.17892430001846,1.63016058989981e-10
"cyaY",-1.10455610440759,2.28543281521578e-10
"yeiB",-1.63533313752108,3.09308091313183e-10
"ycgZ",-2.98071520110982,3.16817629025631e-10
"aroP",-1.02341480833365,4.25407427811979e-10
"ybaK",-1.01095564874552,4.49783691622303e-10
"kch",-1.42124215423109,8.56373485350127e-10
"ddpA",-1.38341801801902,1.39282506568875e-09
"yfgD",-1.08939632549753,1.41099184405243e-09
"lpxT",-1.3742311344192,1.48475420277708e-09
"purC",-2.94695706112732,1.71665166323498e-09
"kgtP",-2.19198899344219,1.80606461914002e-09
"yiiQ",-1.24553400686816,2.1939998994483e-09
"rlmF",-1.15275387470827,2.70602699574019e-09
"hisM",-1.44591936931955,2.87471098551866e-09
"topA",-1.0339991204321,3.0984904765771e-09
"phoH",-3.34029702949353,3.29319743460328e-09
"yggT",-1.01930391631502,3.37069279847093e-09
"rsxC",-1.08275027563709,5.25546552142204e-09
"yiiX",-1.2489022988585,5.28461175974042e-09
"holD",-1.09042446403243,5.3977149994712e-09
"mltF",-1.10562785870557,5.63175737789414e-09
"yccS",-1.14709110348985,6.23330252868727e-09
"recQ",-1.43691939370152,7.20049330006256e-09
"folK",-1.91855556824263,7.43733259667767e-09
"pyrB",-3.15778777839005,8.2139540144696e-09
"dctA",-1.35083122741526,9.19096117397118e-09
"mnmA",-1.25082193005735,1.02653602028514e-08
"pcnB",-1.46617135151036,1.06274929641035e-08
"ymfD",-1.33933228934868,1.40443149571814e-08
"codB",-3.46304198304469,1.51304833370557e-08
"ytfF",-1.35247712441649,1.62924499110332e-08
"trmL",-1.31878827775094,1.70476028778894e-08
"ppsA",-2.25837996259944,1.75911082823284e-08
"yghF",-1.78644257033404,1.94865579133919e-08
"dinI",-1.43718569224336,2.33219657968998e-08
"gcvH",-1.74122698616273,2.65944120266923e-08
"asnS",-1.10620013621327,2.90357595182955e-08
"glnL",-1.08267690332519,3.22573626795227e-08
"rpmG",-1.09653318579783,3.37276305244401e-08
"glyA",-1.12124988225115,3.48830689867147e-08
"ybhC",-1.35939793175469,3.98017265431856e-08
"miaB",-1.11405557840768,4.34569742791356e-08
"fdoG",-1.90130268733641,4.3578079678116e-08
"ymgA",-3.49774251197965,4.79770183417706e-08
"rpsA",-1.80193712745029,6.25591919627221e-08
"ydeA",-1.58625387743629,8.02730368516939e-08
"purT",-1.53423591829928,8.95862704471393e-08
"tusB",-1.109652115677,9.01880504895387e-08
"pyrI",-2.9115874093404,9.60760183803719e-08
"marR",-1.44744453603875,9.74017795349873e-08
"tolA",-1.05774241830331,1.02770802969961e-07
"ttcA",-1.22160429118617,1.4153149649486e-07
"yggI",-1.25896522468309,1.44656521648902e-07
"ispD",-1.14052770684617,1.44685918200342e-07
"dacA",-1.18561546198642,1.45477428047441e-07
"potB",-1.59987691951287,2.36589364379282e-07
"efeU",-3.2678171697166,2.51608828035984e-07
"emrB",-1.42636967214501,2.53403629022304e-07
"ykgJ",-1.16912955490717,2.8796075123681e-07
"pyrH",-1.6718072914273,3.22313372366564e-07
"upp",-2.21603424559673,4.04513526815569e-07
"purH",-2.92178787950748,4.55467046906472e-07
"yiaD",-1.82638218778707,6.27282550977611e-07
"yadS",-1.35060701597441,6.41344555835449e-07
"proW",-1.6244389505084,6.89867230654872e-07
"borD",-1.50839705534887,7.30153185528381e-07
"fabA",-1.07402256041025,8.04896717705339e-07
"folA",-1.07630111926108,8.09445579948037e-07
"queA",-1.25068113612916,8.682818881252e-07
"fadL",-1.62534979940411,8.8939310545155e-07
"yfhL",-1.29298604014627,9.40384441427715e-07
"tsaB",-1.09395684480908,1.25601570860502e-06
"yhiM",-1.59800041515102,1.30193822945628e-06
"dusB",-1.18085848105634,1.47840516217219e-06
"ygaZ",-1.15177827414264,1.56173111572592e-06
"csgD",-1.73013155931169,1.85050762341799e-06
"ycaO",-1.21482216655639,2.12066241310892e-06
"yjiJ",-1.27542737190202,2.36732226003141e-06
"sdhC",-3.64652645410209,2.37280849584335e-06
"serA",-1.16657738842123,2.46057299946812e-06
"yccF",-1.14034772555449,2.73297987160745e-06
"bioB",-2.1955052331779,2.77502543903693e-06
"queD",-1.18758008068013,3.62480125206353e-06
"glpD",-1.03570541120413,3.69303264975969e-06
"cobC",-1.06930299996296,4.11551759058557e-06
"cynR",-1.06462596163199,4.11618436461952e-06
"marA",-1.54762036156546,4.70527055239864e-06
"ftsB",-1.08026983708868,4.86966257185859e-06
"astA",-2.05671515631736,4.87366705802506e-06
"potF",-1.35536219629278,4.87366705802506e-06
"yneG",-1.15049800342304,4.93274399410033e-06
"ddpX",-2.01814287824645,4.95425146040998e-06
"yggS",-1.00888290455651,5.36807969424755e-06
"mltD",-1.09787799783723,6.29566830837126e-06
"aroA",-1.15664376005108,6.50050472300429e-06
"yoaE",-1.02201125959829,6.75128007901784e-06
"uhpA",-1.19766646693561,8.45504485963463e-06
"alaA",-1.36812800851238,8.77425479314359e-06
"rpmH",-1.14025461111775,1.12241171795925e-05
"lit",-1.10941129549044,1.13269863357555e-05
"puuA",-3.46983214064876,1.13467991405267e-05
"yhhQ",-1.0587438057589,1.17208069144791e-05
"thiQ",-1.6534784818757,1.20216509635146e-05
"yciE",-1.41296114583116,1.61203675768475e-05
"dusC",-1.29762908058242,1.64649307103047e-05
"codA",-2.18763205124303,1.75587255895174e-05
"rnb",-1.66277917790231,1.75587255895174e-05
"hprS",-1.54719991023657,1.7854016361323e-05
"fiu",-2.55554296290965,1.99245964054081e-05
"uraA",-3.29417011068492,2.06920565546297e-05
"grxD",-1.03918503028717,2.506164687131e-05
"hflD",-1.23120021654001,2.97228206106655e-05
"clcB",-1.05926234315976,3.83128058992343e-05
"argT",-1.69899230935397,4.63393941934399e-05
"proP",-1.07042501716062,4.72543619969225e-05
"efeO",-2.72479328114889,6.47812552597085e-05
"marB",-1.60859205347399,8.25129492987075e-05
"flhC",-1.25261300131388,9.47792877393932e-05
"thrP",-1.42371199488461,9.62952980411856e-05
"bdm",-2.14340276898608,0.000100702495992763
"mipA",-1.58402799513031,0.000106594503300146
"feaR",-1.4721380076093,0.000111289617691454
"mdtF",-1.60320908147611,0.000114255866137504
"gadC",-2.17218497733488,0.000132817156637552
"purB",-1.94803516346165,0.000144335099067594
"trmH",-1.06676560275777,0.000157077925270538
"mcrC",-1.54875323928923,0.000182294741649313
"rpsL",-1.0116036023901,0.000211511788770218
"dgcJ",-1.18471193294751,0.000232729043398267
"yghG",-1.26781105093952,0.000244669569647518
"drpB",-1.31072549801021,0.000327369941291605
"proX",-1.82119543726884,0.000392020269914908
"xseA",-1.136549489535,0.00039903355974211
"ymfA",-1.67067884341523,0.000414989936674364
"cyoA",-2.77982549457355,0.000466774918795513
"gadA",-2.39213679294975,0.000471821583802527
"metI",-1.44061406903119,0.000476696936184816
"opgG",-1.03843902945609,0.000501470618002597
"yfcL",-1.37458627474319,0.000502091598865344
"gcvP",-1.91240680910387,0.000521748349253666
"flgF",-1.17506829651761,0.000537942552421191
"flgG",-1.00223228002753,0.000575468229420509
"fumA",-2.3397488798265,0.000580044313912464
"bhsA",-2.18864258055909,0.000659868493392779
"hdeA",-1.73430241421758,0.000659868493392779
"gcd",-2.54225522020105,0.000680422299137222
"putP",-1.09350749988113,0.000726257636186287
"gadB",-2.37586893690611,0.000726442712808895
"yjgH",-1.10191882925875,0.000739654074953413
"dosP",-1.46851199474117,0.00074622248434218
"sdhD",-2.91197194142066,0.000787356677825283
"aldA",-2.06302612337419,0.000800913369919487
"potA",-1.2763030977309,0.000805039686102065
"aceB",-1.78172870832281,0.00090291734500023
"nanS",-1.51386788490222,0.000942326936915724
"bioF",-1.78427299213732,0.000973111711745724
"recG",-1.33880508841001,0.0011960247966369
"yfjW",-1.21031237432839,0.00121271334260113
"ymfE",-1.39076977383983,0.00123656752430152
"mdtE",-1.87586569751555,0.00124573230031522
"mcbR",-1.17167461194523,0.00132028852137804
"folE",-1.21829349246584,0.0013256468141766
"flu",-3.26036556448046,0.00152425776636089
"yojI",-1.54381416074588,0.00154788956682119
"metL",-1.16866035343135,0.00162849049443931
"efeB",-2.12896565910105,0.00178041867325584
"hdeB",-1.60654080872705,0.00182805082337842
"yhiD",-1.65157290815116,0.00183364845494505
"dbpA",-1.29087995033083,0.00212630376024424
"yjcH",-1.50228215741436,0.00283707284795136
"ilvB",-1.03171642877166,0.0029782297208808
"fliE",-1.53188604093162,0.00307457705209214
"yhjE",-1.31781249823469,0.00343892415607736
"mntH",-1.060996671396,0.00393665989460235
"fliN",-1.23525311559769,0.00427009071405165
"betB",-1.81875368516864,0.00433510183281819
"hisP",-1.10292507348327,0.00499325407381216
"guaB",-1.89218548481104,0.00525522272607561
"fnr",-1.1949959983207,0.00537420826904591
