"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene"
300.642547372389,-3.86665069089641,0.143447712987386,-26.9551226044044,4.96772132980081e-160,2.03726251735131e-156,"purE"
10359.514124035,2.32083186879518,0.0993373511779751,23.3631342216597,1.01350682581604e-120,2.07819574633578e-117,"epd"
7764.98806225088,5.87336935593894,0.255413393868075,22.9955417254767,5.16555375871856e-117,5.6784401179333e-114,"fruB"
29292.251607258,7.87509331075317,0.342506824986072,22.9925149990031,5.53859070269037e-117,5.6784401179333e-114,"nirB"
1131.35100256527,-3.99336961523899,0.177381348836429,-22.5129059026462,3.10253905377312e-112,2.54470253190471e-109,"purM"
257.990086738954,-3.07097504723429,0.1379739049491,-22.2576511722793,9.51012222577677e-110,6.50016854131842e-107,"ugpB"
424.005628997093,-2.84031771549111,0.132689410145894,-21.4057603569729,1.18079047436552e-101,6.91774533624716e-99,"pyrF"
1290.89716682092,-1.24310200002619,0.0596226140272096,-20.8495051803479,1.54006847771272e-96,7.89477603387482e-94,"plsX"
980.651732006629,-2.89656512786775,0.140448649476468,-20.6236595272712,1.68331468803644e-94,7.67030392848606e-92,"plaP"
6069.80867072538,1.77566054829236,0.0879820875103024,20.1820688567368,1.40731074540413e-90,5.77138136690235e-88,"sstT"
3519.93135411276,-1.73892197963891,0.0874514928985073,-19.8844173152885,5.55234920525774e-88,2.07001673552382e-85,"accC"
4816.93307948757,5.18383558384443,0.273819489607763,18.931580039354,6.26546195946397e-80,2.14122162464681e-77,"bidA"
393.603603470182,-3.32929639757139,0.179746675704095,-18.5221583905796,1.3683947171419e-76,4.31675902692227e-74,"trhO"
839.080005871014,-2.99309235791002,0.16473827642097,-18.1687730558835,9.12152730538203e-74,2.67195596281226e-71,"cvpA"
158.93184106422,-3.86242744291647,0.216698683656157,-17.8239543394971,4.60622893540238e-71,1.25934299093901e-68,"puuD"
474.378742623844,-2.3862659941719,0.137958463104099,-17.29698882171,4.9562597515437e-67,1.27035132756754e-64,"thiB"
132.297289954241,-2.63824173292086,0.154595384518549,-17.0654624724862,2.68256542789837e-65,6.47129459988895e-63,"pqqU"
1458.24116506423,-1.73320512326351,0.103159188162622,-16.8012675761974,2.38883877088055e-63,5.44257099965619e-61,"accB"
620.225511095257,-3.45561240256852,0.208462002762754,-16.5767015416295,1.02713921802567e-61,2.21699891217015e-59,"xanP"
114.209383121153,-3.58807569318427,0.219318080314559,-16.3601454473706,3.68247317442434e-60,7.55091124415712e-58,"mhpR"
567.333844649995,-1.65624878564718,0.103024428613818,-16.0762724717994,3.74229396282524e-58,7.30816549597444e-56,"trmA"
92.6715777655491,-3.10312967566299,0.196113568388688,-15.8231258609946,2.15521474024178e-56,4.01751620442344e-54,"yciH"
