#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
eco02040	Flagellar assembly	17	37	1.24	2.48	6.22e-13	511145.b1073,511145.b1075,511145.b1076,511145.b1077,511145.b1078,511145.b1079,511145.b1080,511145.b1082,511145.b1889,511145.b1890,511145.b1922,511145.b1923,511145.b1924,511145.b1925,511145.b1938,511145.b1940,511145.b1943	flgB,flgD,flgE,flgF,flgG,flgH,flgI,flgK,motB,motA,fliA,fliC,fliD,fliS,fliF,fliH,fliK
eco02030	Bacterial chemotaxis	11	20	1.32	1.93	5.98e-09	511145.b1881,511145.b1882,511145.b1883,511145.b1885,511145.b1886,511145.b1887,511145.b1888,511145.b1889,511145.b1890,511145.b4034,511145.b4355	cheZ,cheY,cheB,tap,tar,cheW,cheA,motB,motA,malE,tsr
