#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
CL:2890	Flagellar assembly, and Chemotaxis	28	48	1.35	4.05	1.40e-23	511145.b1073,511145.b1075,511145.b1076,511145.b1077,511145.b1078,511145.b1079,511145.b1080,511145.b1081,511145.b1082,511145.b1881,511145.b1882,511145.b1883,511145.b1885,511145.b1886,511145.b1887,511145.b1888,511145.b1889,511145.b1890,511145.b1921,511145.b1922,511145.b1923,511145.b1924,511145.b1925,511145.b1938,511145.b1940,511145.b1943,511145.b1944,511145.b4355	flgB,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,cheZ,cheY,cheB,tap,tar,cheW,cheA,motB,motA,fliZ,fliA,fliC,fliD,fliS,fliF,fliH,fliK,fliL,tsr
CL:2887	Flagellar assembly, and Chemotaxis	29	58	1.28	3.77	2.29e-23	511145.b1073,511145.b1075,511145.b1076,511145.b1077,511145.b1078,511145.b1079,511145.b1080,511145.b1081,511145.b1082,511145.b1881,511145.b1882,511145.b1883,511145.b1885,511145.b1886,511145.b1887,511145.b1888,511145.b1889,511145.b1890,511145.b1921,511145.b1922,511145.b1923,511145.b1924,511145.b1925,511145.b1938,511145.b1940,511145.b1943,511145.b1944,511145.b4109,511145.b4355	flgB,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,cheZ,cheY,cheB,tap,tar,cheW,cheA,motB,motA,fliZ,fliA,fliC,fliD,fliS,fliF,fliH,fliK,fliL,crfC,tsr
CL:2886	Mixed, incl. Flagellar assembly, and GGDEF domain	31	95	1.09	2.9	7.75e-21	511145.b1073,511145.b1075,511145.b1076,511145.b1077,511145.b1078,511145.b1079,511145.b1080,511145.b1081,511145.b1082,511145.b1489,511145.b1490,511145.b1881,511145.b1882,511145.b1883,511145.b1885,511145.b1886,511145.b1887,511145.b1888,511145.b1889,511145.b1890,511145.b1921,511145.b1922,511145.b1923,511145.b1924,511145.b1925,511145.b1938,511145.b1940,511145.b1943,511145.b1944,511145.b4109,511145.b4355	flgB,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,dosP,dosC,cheZ,cheY,cheB,tap,tar,cheW,cheA,motB,motA,fliZ,fliA,fliC,fliD,fliS,fliF,fliH,fliK,fliL,crfC,tsr
CL:2891	Flagellar assembly	18	36	1.28	2.71	4.15e-14	511145.b1073,511145.b1075,511145.b1076,511145.b1077,511145.b1078,511145.b1079,511145.b1080,511145.b1081,511145.b1082,511145.b1921,511145.b1922,511145.b1923,511145.b1924,511145.b1925,511145.b1938,511145.b1940,511145.b1943,511145.b1944	flgB,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,fliZ,fliA,fliC,fliD,fliS,fliF,fliH,fliK,fliL
CL:2892	Bacterial-type flagellum basal body	12	26	1.24	1.82	9.71e-09	511145.b1073,511145.b1075,511145.b1076,511145.b1077,511145.b1078,511145.b1079,511145.b1080,511145.b1081,511145.b1938,511145.b1940,511145.b1943,511145.b1944	flgB,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,fliF,fliH,fliK,fliL
CL:2965	Methyl accepting chemotaxis protein complex, and Thermotaxis	7	8	1.52	1.44	4.07e-06	511145.b1881,511145.b1882,511145.b1883,511145.b1885,511145.b1886,511145.b1887,511145.b1888	cheZ,cheY,cheB,tap,tar,cheW,cheA
CL:2926	Flagellar basal body rod protein, conserved site, and Bacterial-type flagellum basal body, distal rod	5	6	1.5	0.92	0.00046	511145.b1075,511145.b1076,511145.b1077,511145.b1078,511145.b1080	flgD,flgE,flgF,flgG,flgI
CL:7273	Curli assembly, and Curlin associated	5	7	1.43	0.87	0.00069	511145.b1037,511145.b1038,511145.b1039,511145.b1040,511145.b1042	csgG,csgF,csgE,csgD,csgA
