#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
COMPARTMENTS	GOCC:0120100	Bacterial-type flagellum motor	3	6	1.28	0.46	0.0225	511145.b1882,511145.b1889,511145.b1890	cheY,motB,motA
COMPARTMENTS	GOCC:0016021	Integral component of membrane	15	241	0.37	0.31	0.0323	511145.b0929,511145.b1037,511145.b1038,511145.b1039,511145.b1101,511145.b1709,511145.b1889,511145.b1890,511145.b2156,511145.b2424,511145.b2425,511145.b2924,511145.b3750,511145.b4033,511145.b4034	ompF,csgG,csgF,csgE,ptsG,btuD,motB,motA,lysP,cysU,cysP,mscS,rbsC,malF,malE
UniProt Keywords	KW-0145	Chemotaxis	11	22	1.28	1.69	7.52e-08	511145.b1881,511145.b1882,511145.b1883,511145.b1885,511145.b1886,511145.b1887,511145.b1888,511145.b1889,511145.b1890,511145.b1944,511145.b4355	cheZ,cheY,cheB,tap,tar,cheW,cheA,motB,motA,fliL,tsr
UniProt Keywords	KW-0975	Bacterial flagellum	10	20	1.28	1.59	2.61e-07	511145.b1073,511145.b1076,511145.b1077,511145.b1078,511145.b1079,511145.b1080,511145.b1082,511145.b1923,511145.b1924,511145.b1938	flgB,flgE,flgF,flgG,flgH,flgI,flgK,fliC,fliD,fliF
UniProt Keywords	KW-0283	Flagellar rotation	5	9	1.32	0.75	0.0018	511145.b1881,511145.b1882,511145.b1889,511145.b1890,511145.b1944	cheZ,cheY,motB,motA,fliL
UniProt Keywords	KW-1005	Bacterial flagellum biogenesis	5	17	1.05	0.48	0.0154	511145.b1075,511145.b1081,511145.b1925,511145.b1940,511145.b1943	flgD,flgJ,fliS,fliH,fliK
UniProt Keywords	KW-0964	Secreted	4	12	1.1	0.39	0.0384	511145.b1082,511145.b1923,511145.b1924,511145.b2000	flgK,fliC,fliD,flu
UniProt Keywords	KW-0807	Transducer	3	5	1.36	0.38	0.0456	511145.b1885,511145.b1886,511145.b4355	tap,tar,tsr
Pfam	PF00460	Flagella basal body rod protein	5	6	1.5	0.7	0.0031	511145.b1073,511145.b1076,511145.b1077,511145.b1078,511145.b1082	flgB,flgE,flgF,flgG,flgK
Pfam	PF06429	Flagellar basal body rod FlgEFG protein C-terminal	4	5	1.48	0.5	0.0174	511145.b1076,511145.b1077,511145.b1078,511145.b1082	flgE,flgF,flgG,flgK
InterPro	IPR001444	Flagellar basal body rod protein, N-terminal	5	6	1.5	0.59	0.0085	511145.b1073,511145.b1076,511145.b1077,511145.b1078,511145.b1082	flgB,flgE,flgF,flgG,flgK
InterPro	IPR010930	Flagellar basal-body/hook protein, C-terminal domain	4	5	1.48	0.38	0.0477	511145.b1076,511145.b1077,511145.b1078,511145.b1082	flgE,flgF,flgG,flgK
InterPro	IPR019776	Flagellar basal body rod protein, conserved site	4	5	1.48	0.38	0.0477	511145.b1073,511145.b1076,511145.b1077,511145.b1078	flgB,flgE,flgF,flgG
