Name,Score,FDR,Direction,Studies
ftnB,2.938891328663859e-4,0.632435500540026,Up,7
pck,5.041304765968983e-4,0.632435500540026,Up,7
cysU,7.037497464108485e-4,0.632435500540026,Up,6
tsuA,8.143796682657173e-4,0.632435500540026,Up,6
gcvT,0.001057208888888889,0.632435500540026,Up,7
gntT,0.001077209006423686,0.632435500540026,Up,7
yqhD,0.0012836985802571568,0.632435500540026,Up,7
cfa,0.00162277318640955,0.6733229090317989,Up,7
glnK,0.0018531386542820604,0.6733229090317989,Up,6
nac,0.0018535681186283598,0.6733229090317989,Up,7
cysP,0.002023435068965155,0.6733229090317989,Up,6
nadB,0.002125963176915919,0.6733229090317989,Up,7
aspA,0.0027684017997805658,0.807999329545533,Up,7
ptsG,0.0030032426707888547,0.807999329545533,Up,7
lysA,0.00309787744751332,0.807999329545533,Up,7
alaE,0.004697440101280855,0.9362154580519642,Up,7
mglA,0.004925095606930082,0.9362154580519642,Up,7
pabC,0.0052227711535523785,0.9362154580519642,Up,7
rpsT,0.0060085365727010655,0.9362154580519642,Up,7
rbsC,0.006080564001497643,0.9362154580519642,Up,7
ddlA,0.006163116285610977,0.9362154580519642,Up,7
rhaD,0.006566795250672266,0.9362154580519642,Up,7
speB,0.006688860498711424,0.9362154580519642,Up,7
hns,0.006951933693723333,0.9362154580519642,Up,7
mutS,0.007090223804661322,0.9362154580519642,Up,7
rihC,0.007276643215072686,0.9362154580519642,Up,7
apt,0.008105361470320803,0.9362154580519642,Up,7
gdhA,0.008107420754807073,0.9362154580519642,Up,7
preA,0.00820511955609713,0.9362154580519642,Up,6
lysP,0.00881326210126684,0.9362154580519642,Up,7
yraQ,0.009118534783722987,0.9362154580519642,Up,7
ompF,0.009688157831221476,0.9362154580519642,Up,7
