Name,Score,FDR
ftnB,2.938891328663859e-4,0.632435500540026
pck,5.041304765968983e-4,0.632435500540026
metT,6.090133982947627e-4,0.632435500540026
cysU,7.037497464108485e-4,0.632435500540026
tsuA,8.143796682657173e-4,0.632435500540026
gcvT,0.001057208888888889,0.632435500540026
gntT,0.001077209006423686,0.632435500540026
metU,0.0012180267965895245,0.632435500540026
yqhD,0.0012836985802571568,0.632435500540026
cfa,0.00162277318640955,0.6733229090317989
glnK,0.0018531386542820604,0.6733229090317989
nac,0.0018535681186283598,0.6733229090317989
cysP,0.002023435068965155,0.6733229090317989
nadB,0.002125963176915919,0.6733229090317989
aspA,0.0027684017997805658,0.807999329545533
ptsG,0.0030032426707888547,0.807999329545533
lysA,0.00309787744751332,0.807999329545533
insA5,0.0033099053090336105,0.815340007791946
ilvX,0.003636363636363635,0.8486124401913873
alaE,0.004697440101280855,0.9362154580519642
mglA,0.004925095606930082,0.9362154580519642
pabC,0.0052227711535523785,0.9362154580519642
glyT,0.0054811205846528625,0.9362154580519642
rpsT,0.0060085365727010655,0.9362154580519642
rbsC,0.006080564001497643,0.9362154580519642
ddlA,0.006163116285610977,0.9362154580519642
rhaD,0.006566795250672266,0.9362154580519642
speB,0.006688860498711424,0.9362154580519642
ybcW,0.00672441580407103,0.9362154580519642
hns,0.006951933693723333,0.9362154580519642
mutS,0.007090223804661322,0.9362154580519642
rihC,0.007276643215072686,0.9362154580519642
valX,0.007308160779537149,0.9362154580519642
cysN,0.008013616390012778,0.9362154580519642
apt,0.008105361470320803,0.9362154580519642
gdhA,0.008107420754807073,0.9362154580519642
preA,0.00820511955609713,0.9362154580519642
lysP,0.00881326210126684,0.9362154580519642
insI3,0.008962048159751065,0.9362154580519642
yraQ,0.009118534783722987,0.9362154580519642
proM,0.009135200974421435,0.9362154580519642
ompF,0.009688157831221476,0.9362154580519642
thrV,0.009744214372716197,0.9362154580519642
lysC,0.0100915680913163,0.9362154580519642
yidE,0.01030254928507619,0.9362154580519642
iclR,0.01107194162811117,0.9362154580519642
pta,0.011106135667390226,0.9362154580519642
insF5,0.011909650924024637,0.9362154580519642
yeaD,0.012144773408612357,0.9362154580519642
valV,0.012180267965895247,0.9362154580519642
hisQ,0.012256602092185927,0.9362154580519642
nikA,0.012726255934455696,0.9362154580519642
glnW,0.012789281364190011,0.9362154580519642
ybaE,0.013176013718914428,0.9362154580519642
emrB,0.014089206337070344,0.9362154580519642
gatD,0.014216552137078484,0.9362154580519642
nirB,0.01434307717638691,0.9362154580519642
ybcV,0.014396969500880572,0.9362154580519642
dcuC,0.014531129842203193,0.9362154580519642
leuZ,0.0146163215590743,0.9362154580519642
insH4,0.014757071961344017,0.9362154580519642
rutA,0.014801059230863719,0.9362154580519642
pnuC,0.014858001091527484,0.9362154580519642
greA,0.015304406493431566,0.9362154580519642
lrhA,0.01571868813275991,0.9362154580519642
priB,0.015720081135902637,0.9362154580519642
valT,0.016443361753958594,0.9362154580519642
astC,0.01664732645560498,0.9362154580519642
hycC,0.016985114026982294,0.9362154580519642
azoR,0.01699533470509254,0.9362154580519642
artQ,0.017007217577803907,0.9362154580519642
nmpC,0.017179138807402832,0.9362154580519642
trmD,0.01724137931034483,0.9362154580519642
sbp,0.01767266744831721,0.9362154580519642
rpsP,0.017748478701825565,0.9362154580519642
srlD,0.0180349918105071,0.9362154580519642
fruB,0.01834859362051044,0.9362154580519642
pspE,0.018520580458269896,0.9362154580519642
dtpB,0.018765963861403917,0.9362154580519642
proY,0.01883343716356406,0.9362154580519642
gltT,0.018879415347137635,0.9362154580519642
hycA,0.019092969483299378,0.9362154580519642
nadA,0.01909808572118829,0.9362154580519642
valY,0.0194884287454324,0.9362154580519642
metE,0.019616548755268914,0.9362154580519642
lysU,0.020173173962736952,0.9362154580519642
galS,0.020500177376233136,0.9362154580519642
yddB,0.020743116193292832,0.9362154580519642
amtB,0.02080436391005195,0.9362154580519642
yedF,0.021175027346113637,0.9362154580519642
rplA,0.021298174442190673,0.9362154580519642
proL,0.02131546894031669,0.9362154580519642
tsuB,0.02155067102941496,0.9362154580519642
insE2,0.021837867716522644,0.9362154580519642
argD,0.02185224630073932,0.9362154580519642
argT,0.022180974557673188,0.9362154580519642
tapT,0.022191045446474322,0.9362154580519642
rbsB,0.022250142975284826,0.9362154580519642
sodB,0.02245101083967127,0.9362154580519642
fre,0.02299750174899263,0.9362154580519642
kbl,0.023126694831855036,0.9362154580519642
alaW,0.02314250913520097,0.9362154580519642
ulaG,0.023567061208776476,0.9362154580519642
ddpA,0.023632993512511583,0.9362154580519642
cusA,0.023697966464445597,0.9362154580519642
gltW,0.02375152253349574,0.9362154580519642
arcB,0.0237527209013553,0.9362154580519642
malX,0.023786476366794967,0.9362154580519642
hycG,0.023859908964584012,0.9362154580519642
yagU,0.024535403373821332,0.9362154580519642
rhtB,0.02475578482893072,0.9362154580519642
argA,0.024759789256207195,0.9362154580519642
artP,0.02484787018255578,0.9362154580519642
gatY,0.025072161134929848,0.9362154580519642
insA6,0.025462012320328544,0.9362154580519642
uvrD,0.025822547343646758,0.9362154580519642
insH5,0.026197015630204632,0.9362154580519642
mglB,0.02621867450824975,0.9362154580519642
pspF,0.026401300714100573,0.9362154580519642
dps,0.026581605528973946,0.9362154580519642
eno,0.026725417091193658,0.9362154580519642
ssrS,0.027405602923264317,0.9362154580519642
mqsR,0.02747252978908378,0.9362154580519642
yicC,0.027631108493400253,0.9362154580519642
insH9,0.027828594799488977,0.9362154580519642
b2090,0.027926078028747428,0.9362154580519642
yieP,0.027991100810439172,0.9362154580519642
insB5,0.028000571413301055,0.9362154580519642
asnA,0.028387720378147165,0.9362154580519642
ymgD,0.028553137267237728,0.9362154580519642
glnX,0.02862362971985384,0.9362154580519642
mmuP,0.028708133971291867,0.9362154580519642
rbsD,0.028887138254099564,0.9362154580519642
lexA,0.029152626833388966,0.9362154580519642
tpr,0.0292326431181486,0.9362154580519642
waaH,0.02954714702540111,0.9362154580519642
argF,0.029584438946489898,0.9362154580519642
hha,0.029637678228547047,0.9362154580519642
chaC,0.029657089898053757,0.9362154580519642
pfkB,0.029705619369185605,0.9362154580519642
yrbN,0.02977139819245082,0.9362154580519642
hydN,0.030736930224239664,0.9409533537534147
mazE,0.030795372510762878,0.9409533537534147
ubiU,0.030909887330587704,0.9409533537534147
dadA,0.031087238609384595,0.9409533537534147
yeiP,0.031478797283844756,0.9409533537534147
yafV,0.031874991042937575,0.9409533537534147
insA1,0.03202547011614701,0.9409533537534147
