Name,Score,FDR
csgF,8.086586429210928e-8,3.555672052924045e-4
fliC,5.6346107637185164e-6,0.012387691764035159
csgG,1.7186666652161684e-5,0.018890961212920356
ycaC,2.013049616468832e-5,0.018890961212920356
csgD,2.1481647956470725e-5,0.018890961212920356
fliA,1.1638101742995198e-4,0.06815052677520163
motB,1.2589660730393388e-4,0.06815052677520163
talA,1.7270786369169967e-4,0.06815052677520163
flgJ,1.7747168085273135e-4,0.06815052677520163
rdcA,1.8092588823303258e-4,0.06815052677520163
flu,1.881336812337272e-4,0.06815052677520163
cheB,1.9046057873757969e-4,0.06815052677520163
tar,2.0149120947864934e-4,0.06815052677520163
csgE,2.232079607356191e-4,0.07010324309675123
motA,2.5982323839403694e-4,0.07616285194790536
cheA,2.856613072692239e-4,0.07850329800392358
fliZ,3.91779782698289e-4,0.10133268850143393
flgK,4.4639522207731025e-4,0.10904443285966295
fliF,5.206276021751726e-4,0.1168296112517914
cheY,5.314060097875433e-4,0.1168296112517914
fliK,5.942294432181022e-4,0.12359535699622727
avtA,6.197608870174175e-4,0.12359535699622727
flgI,6.46507439370759e-4,0.12359535699622727
rraA,7.012622720897616e-4,0.12665286663038755
ybaY,7.318480664062254e-4,0.12665286663038755
fliS,7.489139259472541e-4,0.12665286663038755
csgA,8.273764919108019e-4,0.1347397938863628
dosP,8.683100500177505e-4,0.13635568892600175
katE,9.314755579483436e-4,0.14123096649306438
yciF,0.001128579231240389,0.15559252539565702
tap,0.0011308859548827901,0.15559252539565702
btuD,0.0011323540624655502,0.15559252539565702
ydcL,0.0012689248315413296,0.16907462073597657
flgD,0.00151514071286114,0.19594334454265977
fliH,0.001632501986367454,0.20184435085226213
dosC,0.001652580539158844,0.20184435085226213
flgH,0.0018401089301904176,0.21633849610652808
cheZ,0.001869652684113729,0.21633849610652808
cheW,0.002140746042075007,0.24052911894585852
flgG,0.0021881202542265955,0.24052911894585852
yahK,0.002255209924820291,0.2418575131569468
flgF,0.0024989739366494262,0.26161877141541734
poxB,0.0026471084412309385,0.27068222828121946
aceK,0.0027797223267509155,0.2777827061528131
otsA,0.003031985610088774,0.29328985912374156
yebV,0.0030683041891499006,0.29328985912374156
groS,0.0033235181788609626,0.31092573260535433
mscS,0.003511216709866201,0.32164208069336847
gadC,0.0036779967519812735,0.33004391262166655
fliL,0.003858861557287032,0.3393482853478216
galF,0.003957150279152422,0.34116842700849415
ycgH,0.00433369320143066,0.36644709628251176
gatZ,0.004857005867869392,0.40294820379286256
flgB,0.00549851530267453,0.4387126499466977
sra,0.005595560063599968,0.4387126499466977
fliD,0.005611444132348552,0.4387126499466977
ydeI,0.005715654341532744,0.4387126499466977
lpxP,0.005831394125133517,0.4387126499466977
tsr,0.005900476227821985,0.4387126499466977
malE,0.005986526949465968,0.4387126499466977
yfcF,0.00630701375455765,0.4464863011434994
aceB,0.006309435419497319,0.4464863011434994
fbaB,0.006471751658887578,0.4464863011434994
uspD,0.0064987771828937824,0.4464863011434994
evgS,0.00674219482275116,0.45444828754260924
puuD,0.006929006082865265,0.45444828754260924
isrC,0.007012622720897616,0.45444828754260924
yedL,0.007028083591743787,0.45444828754260924
modF,0.007310574711565867,0.4658637247355814
otsB,0.007580842729699555,0.4759994018366234
yciG,0.007686139988719641,0.4759994018366234
flgE,0.008100194740671071,0.49331792245945233
purE,0.008222928263582075,0.49331792245945233
hchA,0.008302371221741977,0.49331792245945233
yiiS,0.00866268608485543,0.49870330533839996
mprA,0.008665038791111006,0.49870330533839996
codB,0.00873326234047232,0.49870330533839996
tktB,0.008931064007053045,0.4996745315205672
