"Gene","SignedZ"
"ygeV",6.30479546641067
"phoH",-6.27770906397757
"pdeA",-6.23802298369211
"ynfO",6.22074539637439
"proW",-6.21944575732189
"yaaJ",6.21508829732867
"entB",-6.19405638018607
"ydcR",-6.19364144763344
"rnr",6.18132405433375
"gltX",-6.18116985042493
"metK",-6.17755228436805
"ugpE",-6.17347596776451
"ftnB",6.16976141334473
"aceK",-6.1629699406898
"lysO",-6.1557720907518
"dmsB",6.14553323121122
"ygfF",-6.12811036821344
"yfeX",6.1257366888196
"hybA",6.1208997110583
"lysA",-6.11498769322392
"rimI",-6.11320036540587
"pstC",-6.1120516012071
"ynaI",-6.10911414525174
"fiu",-6.1074198811538
"manZ",6.09702011702765
"adk",-6.09405376445102
"betT",-6.08438526916604
"tolQ",-6.0755344252223
"pepT",6.07518552448218
"glnA",-6.07147855325875
"rdgC",-6.06391622165569
"ytjA",-6.0599294596972
"rfbD",-6.05344217911757
"intS",-6.03488864930651
"thiI",-6.02816165589542
"cspB",6.01573779380163
"ydeA",-6.01570059454627
"yebK",6.01530310354932
"cydA",5.99231892298656
"suhB",-5.98526793555868
"dinG",5.97858722818412
"ghxP",-5.97563605558299
"kch",-5.97303610103191
"rihC",5.95037829208147
"astA",-5.94940276575204
"brnQ",5.94463387885726
"fadB",-5.94438538014412
"emtA",-5.94228492206319
"prs",-5.94157157054637
"ygiQ",-5.94075253770045
"argS",-5.93389532556314
"mepH",-5.92707074777486
"yedJ",-5.91577948244416
"nrfA",5.89625067289061
"ompR",5.857895748363
"hsdS",-5.82741666164783
"ynaJ",-5.82280236774131
"ycjW",-5.82160950327233
"ychH",5.81658883031419
"rsxA",-5.81257864300939
"ygcN",5.79228875431354
"cmk",-5.79028145454554
"pyrC",-5.78060924711198
"yciE",-5.77965588298297
"gsk",-5.76290575975282
"yqgA",5.7574863346869
"dgcE",-5.74017342544477
"eptC",-5.73836241754601
"nrdE",-5.733240302953
"yciZ",5.73231516784162
"trxC",-5.73067075773078
"yidC",-5.72930536037663
"nirC",5.7281584279286
"frdC",5.72522723324572
"mioC",-5.71826055340347
"betI",-5.71457501625492
"yehD",5.7066033676392
"lldR",-5.68965745261022
"ortT",-5.68502283998039
"rpsU",-5.6716438523346
"efeU",-5.64989007782225
"ucpA",5.649180424259
"yadI",5.63575607459511
"yiiQ",-5.62175998735589
"ppsA",-5.61383945883333
"yieP",5.60548488716338
"ansB",5.60060055331182
"xseB",-5.58428465319928
"ansP",-5.58107500990397
"yfgD",-5.5794167318993
"mreC",-5.57741132540722
"ahpF",5.5691991846513
"hypD",5.55319630813303
"elbB",5.55293784416538
"yfiF",5.53950727881759
"fis",-5.53629473038659
"kgtP",-5.53609058101447
"ccmA",5.53307453431761
"dosC",-5.53053525196693
"evgS",-5.52974840590307
"lysC",5.52512727558223
"narQ",5.52480147846078
"yedL",-5.52012476584152
"gpt",-5.51679402128371
"ytfF",-5.50397935034626
"aceA",-5.50293797037547
"bioB",-5.49410644657083
